Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-06,130.0,136.5,130.0,136.49,8282259,BE,26442.0,313.22,8282259.0
2026-07-07,131.0,133.0,129.67,129.67,121969,BE,1027.0,118.76,121969.0
2026-07-08,123.19,123.19,123.19,123.19,45236,BE,672.0,67.32,45236.0
2026-07-09,117.04,117.04,117.04,117.04,342469,BE,1987.0,172.35,342469.0
2026-07-10,122.89,122.89,122.88,122.88,957677,BE,2819.0,339.72,957677.0
2026-07-13,129.02,129.02,129.01,129.01,813673,BE,2133.0,381.47,813673.0
2026-07-14,135.45,135.46,135.45,135.45,1138381,BE,3346.0,340.22,1138381.0
2026-07-15,128.68,132.74,128.68,128.68,226561,BE,908.0,249.52,226561.0
2026-07-16,122.25,122.25,122.25,122.25,58053,BE,557.0,104.22,58053.0
2026-07-17,116.14,127.45,116.14,116.14,1010965,BE,2916.0,346.7,1010965.0
2026-07-20,115.0,122.0,105.33,107.55,4800833,EQ,17292.0,277.63,768189.0
2026-07-21,117.92,129.06,115.5,129.05,10338553,EQ,13014.0,794.42,3677600.0
2026-07-22,140.01,140.01,103.24,103.24,18345174,EQ,59866.0,306.44,4536353.0
2026-07-23,101.69,106.4,95.85,103.0,17825215,EQ,67237.0,265.11,1799354.0
2026-07-24,104.0,105.97,101.96,102.62,17809358,EQ,64817.0,274.76,581902.0
2026-07-27,103.95,104.19,102.0,102.37,10078967,EQ,37295.0,270.25,596612.0
2026-07-28,103.9,105.79,81.9,81.9,14134979,EQ,36637.0,385.81,2698021.0
2026-07-29,77.99,80.8,74.4,76.09,4227632,EQ,26682.0,158.45,935606.0
2026-07-30,77.17,77.81,75.27,76.62,1073052,EQ,6424.0,167.04,390001.0
2026-07-31,77.8,77.8,76.0,76.25,797524,EQ,4069.0,196.0,405850.0
2026-08-03,76.6,77.4,76.0,76.12,1564318,EQ,3331.0,469.62,472523.0
2026-08-04,76.88,83.73,76.25,83.72,4012089,EQ,6235.0,643.48,905602.0
2026-08-05,92.09,92.09,92.08,92.08,4219184,EQ,3310.0,1274.68,786245.0
2026-08-06,82.88,82.88,82.88,82.88,249739,EQ,1576.0,158.46,240736.0
2026-08-07,78.41,82.7,74.6,74.6,6003229,EQ,25371.0,236.62,2002757.0
2026-08-10,75.5,77.7,70.0,73.51,2615681,EQ,11827.0,221.16,717206.0
2026-08-11,74.8,74.8,73.01,73.12,916506,EQ,3870.0,236.82,284115.0
2026-08-12,73.0,76.58,73.0,74.19,977862,EQ,5074.0,192.72,333725.0
2026-08-13,73.5,75.47,73.1,74.53,314026,EQ,2444.0,128.49,158702.0
2026-08-14,74.1,75.47,73.5,74.31,321964,EQ,2775.0,116.02,163786.0
2026-08-17,73.0,74.95,73.0,73.21,592997,EQ,3013.0,196.81,327265.0
2026-08-18,74.0,74.2,73.0,73.03,433445,EQ,2090.0,207.39,206327.0
2026-08-19,73.99,74.29,73.0,73.14,534460,EQ,1961.0,272.54,181670.0
2026-08-20,73.14,74.71,73.02,73.32,283149,EQ,1846.0,153.39,126831.0
2026-08-21,73.43,73.69,73.0,73.03,174496,EQ,1442.0,121.01,113151.0
2026-08-24,73.29,73.7,73.0,73.01,268333,EQ,1302.0,206.09,181700.0
2026-08-25,73.02,75.0,73.0,73.05,312284,EQ,1834.0,170.27,165899.0
2026-08-26,73.24,80.35,73.24,80.34,2533216,EQ,5230.0,484.36,1157861.0
2026-08-27,88.37,88.37,88.36,88.36,2787093,EQ,3220.0,865.56,1067640.0
2026-08-28,85.0,85.0,79.53,79.61,2379114,EQ,9067.0,262.39,441827.0
2026-08-31,81.05,85.26,81.05,83.61,2089353,EQ,7653.0,273.01,322987.0
2026-09-01,82.99,85.0,79.42,83.01,741120,EQ,2602.0,284.83,339785.0
2026-09-02,82.96,82.96,78.1,79.19,304911,EQ,3002.0,101.57,153434.0
2026-09-03,80.99,81.0,78.13,80.05,540815,EQ,1874.0,288.59,360857.0
2026-09-04,79.56,80.87,77.92,78.12,228188,EQ,1615.0,141.29,119342.0
2026-09-07,79.25,79.25,76.42,77.36,177179,EQ,2112.0,83.89,89295.0
2026-09-08,76.51,78.71,75.22,76.85,387228,EQ,2478.0,156.27,260942.0
2026-09-09,77.26,83.88,75.1,81.46,2046144,EQ,8538.0,239.65,896487.0
2026-09-10,81.41,81.41,78.8,79.29,263315,EQ,1509.0,174.5,190798.0
2026-09-11,79.34,79.34,77.0,78.43,179977,EQ,1553.0,115.89,114680.0
2026-09-15,78.43,80.26,76.0,76.38,772986,EQ,2378.0,325.06,379084.0
2026-09-16,76.91,76.91,71.72,74.33,356386,EQ,3172,112.35,147685
2026-09-17,75.85,77.8,74.5,76.78,223352,EQ,2226,100.34,79562
2026-09-18,77.99,77.99,74.24,76.25,240248,EQ,2115,113.59,120330
