Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-09,112.0,117.6,111.8,117.6,1954800,ST,642,3044.86,1954800
2026-03-10,120.05,123.45,114.0,123.45,454800,ST,117,3887.18,452400
2026-03-11,121.0,129.6,121.0,129.6,109200,ST,64,1706.25,108000
2026-03-12,136.05,136.05,136.0,136.05,316800,ST,48,6600.0,314400
2026-03-13,142.5,142.85,133.0,138.85,786000,ST,88,8931.82,488400
2026-03-16,132.0,141.95,131.95,136.0,80400,ST,35,2297.14,79200
2026-03-17,133.0,136.0,132.95,134.45,1285200,ST,115,11175.65,1279200
2026-03-18,127.75,139.3,127.75,133.0,470400,ST,57,8252.63,459600
2026-03-19,133.0,139.65,133.0,139.35,40800,ST,29,1406.9,40800
2026-03-20,135.0,146.3,134.9,145.05,1650000,ST,53,31132.08,1648800
