Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,1781.1,1880.0,1750.1,1766.7,1831,EQ,321.0,5.7,1264.0
2026-08-18,1784.3,1814.9,1715.5,1755.0,628,EQ,140.0,4.49,449.0
2026-08-19,1780.2,1814.9,1780.0,1793.0,257,EQ,100.0,2.57,197.0
2026-08-20,1792.6,1829.8,1775.0,1802.0,592,EQ,109.0,5.43,481.0
2026-08-21,1800.0,1834.2,1790.0,1806.2,520,EQ,118.0,4.41,403.0
2026-08-24,1815.3,1824.9,1780.0,1793.8,1053,EQ,188.0,5.6,737.0
2026-08-25,1799.9,1828.8,1789.9,1794.4,102,EQ,45.0,2.27,84.0
2026-08-26,1823.6,1839.2,1794.1,1802.9,364,EQ,116.0,3.14,250.0
2026-08-27,1801.9,1807.0,1790.1,1805.3,378,EQ,64.0,5.91,327.0
2026-08-28,1823.5,1825.0,1773.4,1792.6,342,EQ,85.0,4.02,269.0
2026-08-31,1773.0,1805.0,1773.0,1805.0,583,EQ,67.0,8.7,515.0
2026-09-01,1800.0,1800.0,1777.1,1787.8,1923,EQ,147.0,13.08,1607.0
2026-09-02,1795.0,1809.8,1756.0,1760.0,629,EQ,145.0,4.34,509.0
2026-09-03,1799.8,1799.8,1765.0,1790.9,309,EQ,56.0,5.52,207.0
2026-09-04,1799.8,1842.9,1761.8,1797.6,616,EQ,105.0,5.87,394.0
2026-09-07,1799.0,1839.0,1780.0,1799.4,1000,EQ,151.0,6.62,649.0
2026-09-08,1822.0,1822.0,1762.7,1780.5,246,EQ,51.0,4.82,155.0
2026-09-09,1780.5,1799.8,1760.1,1795.1,393,EQ,88.0,4.47,259.0
2026-09-10,1766.5,1795.1,1750.0,1754.6,764,EQ,189.0,4.04,619.0
2026-09-11,1702.0,1961.9,1702.0,1785.7,2316,EQ,280.0,8.27,1499.0
2026-09-15,1785.7,1824.0,1725.2,1732.1,944,EQ,231.0,4.09,743.0
2026-09-16,1726.1,1800.2,1726.1,1769.4,449,EQ,137,3.28,321
2026-09-17,1795.0,1795.0,1726.0,1774.0,343,EQ,79,4.34,229
2026-09-18,1798.0,1836.9,1725.1,1737.2,1004,EQ,215,4.67,484
