Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-18,86.0,89.9,86.0,89.5,103,EQ,6.0,17.17,103.0
2026-08-19,86.9,87.0,86.9,87.0,59,EQ,5.0,11.8,59.0
2026-08-20,87.95,87.95,71.05,80.0,612,EQ,22.0,27.82,609.0
2026-08-21,88.0,90.01,72.07,80.66,4334,EQ,50.0,86.68,2078.0
2026-08-24,92.0,93.7,85.0,86.36,2931,EQ,110.0,26.65,1994.0
2026-08-25,93.99,93.99,82.5,86.89,1138,EQ,30.0,37.93,1110.0
2026-08-26,92.0,94.6,80.3,82.66,858,EQ,44.0,19.5,598.0
2026-08-27,82.66,90.0,80.0,86.7,800,EQ,25.0,32.0,644.0
2026-08-28,84.53,84.53,79.92,84.0,88,EQ,17.0,5.18,86.0
2026-08-31,82.84,90.0,78.0,85.0,423,EQ,20.0,21.15,340.0
2026-09-01,80.0,83.9,76.95,81.44,373,EQ,20.0,18.65,359.0
2026-09-02,83.5,90.0,83.5,85.29,595,EQ,18.0,33.06,592.0
2026-09-03,86.9,88.0,75.0,76.69,2206,EQ,49.0,45.02,2116.0
2026-09-04,81.55,83.68,79.0,79.34,486,EQ,34.0,14.29,319.0
2026-09-07,79.34,85.0,78.95,80.81,2067,EQ,41.0,50.41,1941.0
2026-09-08,82.9,83.0,75.26,79.87,279,EQ,32.0,8.72,226.0
2026-09-09,77.0,79.0,77.0,79.0,41,EQ,7.0,5.86,41.0
2026-09-10,79.0,82.0,72.0,74.83,3924,EQ,66.0,59.45,3688.0
2026-09-11,80.0,80.0,74.5,77.48,1712,EQ,27.0,63.41,1435.0
2026-09-15,79.41,80.0,79.0,79.0,6,EQ,5.0,1.2,4.0
2026-09-16,78.6,79.79,76.25,79.0,52,EQ,12,4.33,49
2026-09-17,79.0,84.0,73.05,78.45,31,EQ,12,2.58,24
2026-09-18,83.0,83.0,82.65,82.65,3,EQ,3,1.0,1
