Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,1.15,1.27,1.15,1.21,116547,EQ,168.0,693.73,98154.0
2026-08-18,1.24,1.26,1.18,1.23,179534,EQ,244.0,735.8,153984.0
2026-08-19,1.25,1.25,1.21,1.22,95397,EQ,200.0,476.98,81607.0
2026-08-20,1.21,1.25,1.2,1.2,192176,EQ,219.0,877.52,167405.0
2026-08-21,1.2,1.22,1.19,1.2,178394,EQ,225.0,792.86,135966.0
2026-08-24,1.22,1.23,1.18,1.19,199464,EQ,293.0,680.76,183362.0
2026-08-25,1.21,1.23,1.16,1.2,261735,EQ,310.0,844.31,200441.0
2026-08-26,1.19,1.22,1.19,1.19,313484,EQ,224.0,1399.48,287132.0
2026-08-27,1.19,1.21,1.18,1.19,199252,EQ,168.0,1186.02,156151.0
2026-08-28,1.21,1.23,1.18,1.19,284503,EQ,227.0,1253.32,236341.0
2026-08-31,1.21,1.21,1.12,1.16,566958,EQ,373.0,1519.99,507364.0
2026-09-01,1.17,1.17,1.14,1.15,289220,EQ,266.0,1087.29,200258.0
2026-09-02,1.16,1.26,1.11,1.15,899571,EQ,467.0,1926.28,496530.0
2026-09-03,1.17,1.17,1.1,1.13,325275,EQ,274.0,1187.14,257348.0
2026-09-04,1.15,1.16,1.11,1.12,329513,EQ,336.0,980.69,230445.0
2026-09-07,1.12,1.13,1.1,1.1,337126,EQ,299.0,1127.51,302810.0
2026-09-08,1.1,1.1,1.06,1.07,819602,EQ,403.0,2033.75,586095.0
2026-09-09,1.07,1.09,1.06,1.07,159333,EQ,256.0,622.39,128957.0
2026-09-10,1.08,1.09,1.04,1.04,299553,EQ,330.0,907.74,271247.0
2026-09-11,1.05,1.05,0.91,1.02,603812,EQ,406.0,1487.22,422933.0
2026-09-15,1.02,1.02,0.94,0.98,431765,EQ,428.0,1008.8,365212.0
2026-09-16,0.96,0.99,0.95,0.97,461983,EQ,349,1323.73,323746
2026-09-17,0.99,1.01,0.95,0.97,265847,EQ,294,904.24,195168
2026-09-18,0.97,1.0,0.95,0.98,216964,EQ,256,847.52,147982
