Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-03,22.0,22.0,20.9,20.9,269259,BE,839.0,320.93,269259.0
2026-07-06,19.86,19.86,19.86,19.86,47942,BE,352.0,136.2,47942.0
2026-07-07,18.87,18.87,18.87,18.87,43115,BE,274.0,157.35,43115.0
2026-07-08,17.93,17.93,17.93,17.93,74333,BE,243.0,305.9,74333.0
2026-07-09,17.04,17.04,17.04,17.04,49444,BE,272.0,181.78,49444.0
2026-07-10,16.19,16.19,16.19,16.19,89437,BE,326.0,274.35,89437.0
2026-07-13,15.39,15.5,15.39,15.39,8367252,BE,6436.0,1300.07,8367252.0
2026-07-14,14.63,14.63,14.63,14.63,1034537,BE,669.0,1546.39,1034537.0
2026-07-15,13.9,14.63,13.9,13.9,8086905,BE,9237.0,875.49,8086905.0
2026-07-16,13.52,14.37,13.21,13.21,2700362,BE,3141.0,859.71,2700362.0
2026-07-17,12.46,12.74,12.03,12.59,12690614,EQ,24316.0,521.9,9338073.0
2026-07-20,12.6,13.18,12.25,12.9,6825818,EQ,14852.0,459.59,4784453.0
2026-07-21,13.02,13.2,12.61,13.1,5005195,EQ,11335.0,441.57,3207826.0
2026-07-22,13.1,13.5,12.83,13.2,3521518,EQ,8836.0,398.54,1989365.0
2026-07-23,13.14,13.14,12.61,12.7,2473731,EQ,6883.0,359.4,1439420.0
2026-07-24,12.56,12.75,12.21,12.58,2678802,EQ,3339.0,802.28,1664728.0
2026-07-27,12.58,12.77,12.25,12.3,2310534,EQ,6082.0,379.9,1801953.0
2026-07-28,12.27,12.58,12.16,12.43,1189536,EQ,2227.0,534.14,900626.0
2026-07-29,12.4,12.53,12.25,12.48,912373,EQ,2211.0,412.65,693331.0
2026-07-30,12.21,12.5,12.1,12.19,1333055,EQ,4613.0,288.98,848293.0
2026-07-31,12.26,12.35,12.15,12.23,901226,EQ,2952.0,305.29,674714.0
2026-08-03,12.1,12.55,12.1,12.46,1465955,EQ,3101.0,472.74,1110802.0
2026-08-04,12.24,13.6,12.24,13.27,3257640,EQ,7703.0,422.91,1702358.0
2026-08-05,13.6,13.69,13.06,13.15,1493237,EQ,5049.0,295.75,883643.0
2026-08-06,13.29,14.46,13.12,14.46,12134338,EQ,21561.0,562.79,6641846.0
2026-08-07,14.47,14.63,13.56,13.84,5613366,EQ,13120.0,427.85,2481577.0
2026-08-10,13.85,13.98,13.26,13.71,3548945,EQ,10337.0,343.32,1924537.0
2026-08-11,13.37,13.9,13.32,13.58,1696722,EQ,5406.0,313.86,897758.0
2026-08-12,13.99,15.9,13.71,14.59,17463534,EQ,37350.0,467.56,3691151.0
2026-08-13,14.81,15.01,14.45,14.83,3635861,EQ,10098.0,360.06,1263712.0
2026-08-14,14.95,15.19,14.5,14.91,2095582,EQ,5560.0,376.9,1032371.0
2026-08-17,14.75,14.96,13.75,14.01,3835064,EQ,10790.0,355.43,2236995.0
2026-08-18,14.0,14.01,13.03,13.25,3444947,EQ,7750.0,444.51,2016775.0
2026-08-19,13.25,13.5,13.05,13.12,2613507,EQ,4973.0,525.54,1482579.0
2026-08-20,13.19,13.3,12.64,12.73,3024664,EQ,11143.0,271.44,1761331.0
2026-08-21,13.18,13.4,12.64,13.12,8593909,EQ,10705.0,802.79,4129581.0
2026-08-24,13.13,14.2,13.13,13.86,9094846,EQ,18656.0,487.5,3791400.0
2026-08-25,13.92,14.5,13.8,14.07,5444136,EQ,10015.0,543.6,2247308.0
2026-08-26,14.0,14.48,13.91,14.32,2718989,EQ,4592.0,592.11,1247417.0
2026-08-27,14.22,14.85,14.22,14.34,2786057,EQ,5799.0,480.44,1366382.0
2026-08-28,14.33,14.6,13.95,14.03,1366639,EQ,3057.0,447.05,812235.0
2026-08-31,14.05,14.5,13.82,13.83,2415944,EQ,4467.0,540.84,898494.0
2026-09-01,13.85,13.93,13.51,13.59,3355300,EQ,3268.0,1026.71,2671263.0
2026-09-02,13.56,13.95,13.28,13.79,1532028,EQ,2719.0,563.45,787486.0
2026-09-03,13.79,13.83,13.52,13.66,1278727,EQ,3060.0,417.88,784355.0
2026-09-04,13.61,13.97,13.61,13.65,978529,EQ,2387.0,409.94,548261.0
2026-09-07,13.6,13.71,13.46,13.58,8294166,EQ,17038.0,486.8,5560811.0
2026-09-08,13.57,16.23,13.55,16.02,54467549,EQ,87442.0,622.9,8424297.0
2026-09-09,15.73,16.38,15.32,15.55,7575417,EQ,12566.0,602.85,2149170.0
2026-09-10,15.85,16.1,15.05,15.51,3759448,EQ,7346.0,511.77,1019022.0
2026-09-11,15.32,15.69,15.0,15.13,3154038,EQ,6169.0,511.27,944537.0
2026-09-15,15.14,15.23,14.01,14.23,2608653,EQ,4057.0,643.0,1411281.0
2026-09-16,14.23,14.26,13.63,14.03,2126782,EQ,3588,592.75,987954
2026-09-17,14.0,14.2,13.75,13.88,2074548,EQ,5392,384.75,1136734
2026-09-18,13.94,14.11,13.56,13.8,1221013,EQ,2944,414.75,594947
