Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,1600.05,1637.95,1530.1,1549.2,190,EQ,26.0,7.31,159.0
2026-04-21,1550.05,1631.0,1541.15,1542.65,378,EQ,11.0,34.36,371.0
2026-04-22,1699.0,1699.0,1510.0,1547.9,333,EQ,56.0,5.95,216.0
2026-04-23,1547.9,1607.3,1484.9,1536.1,1401,EQ,80.0,17.51,1303.0
2026-04-24,1618.0,1618.0,1520.2,1532.25,160,EQ,18.0,8.89,142.0
2026-04-27,1501.65,1590.0,1501.65,1558.0,280,EQ,53.0,5.28,265.0
2026-04-28,1550.05,1550.1,1530.1,1540.7,463,EQ,22.0,21.05,455.0
2026-04-29,1540.05,1554.0,1530.0,1540.65,90,EQ,19.0,4.74,76.0
2026-04-30,1540.05,1688.0,1525.05,1572.75,353,EQ,21.0,16.81,349.0
2026-05-04,1572.0,1688.0,1551.1,1619.9,2257,EQ,176.0,12.82,1984.0
2026-05-05,1619.9,1619.9,1575.1,1584.7,367,EQ,66.0,5.56,224.0
2026-05-06,1560.1,1620.0,1560.1,1575.1,17,EQ,9.0,1.89,14.0
2026-05-07,1553.1,1635.0,1553.1,1613.0,95,EQ,20.0,4.75,76.0
2026-05-08,1613.0,1613.0,1565.3,1603.8,227,EQ,28.0,8.11,219.0
2026-05-11,1603.0,1603.0,1550.0,1556.8,289,EQ,25.0,11.56,282.0
2026-05-12,1558.0,1558.0,1537.1,1540.0,43,EQ,12.0,3.58,42.0
2026-05-13,1540.0,1573.9,1515.1,1573.9,61,EQ,12.0,5.08,59.0
2026-05-14,1609.9,1609.9,1548.0,1590.1,96,EQ,19.0,5.05,93.0
2026-05-15,1561.2,1591.1,1561.2,1590.6,43,EQ,7.0,6.14,43.0
2026-05-18,1567.1,1590.0,1567.1,1571.2,251,EQ,19.0,13.21,247.0
2026-05-19,1560.0,1599.9,1555.0,1599.9,30,EQ,10.0,3.0,30.0
2026-05-20,1598.0,1598.9,1552.2,1589.3,13,EQ,5.0,2.6,12.0
2026-05-21,1636.0,1640.0,1590.1,1595.2,1061,EQ,62.0,17.11,557.0
2026-05-22,1620.0,1629.2,1580.0,1624.1,591,EQ,93.0,6.35,531.0
2026-05-25,1630.0,1670.0,1575.4,1651.2,1018,EQ,168.0,6.06,847.0
2026-05-26,1643.0,1672.0,1612.0,1662.5,1377,EQ,274.0,5.03,1002.0
2026-05-27,1662.5,1710.0,1631.7,1707.7,1559,EQ,351.0,4.44,1345.0
2026-05-29,1707.7,1720.0,1655.1,1708.6,1672,EQ,224.0,7.46,1238.0
2026-06-01,1744.0,1744.0,1680.6,1727.5,442,EQ,64.0,6.91,320.0
2026-06-02,1748.0,1748.0,1700.0,1740.8,260,EQ,25.0,10.4,260.0
2026-06-03,1744.0,1799.0,1732.1,1756.1,550,EQ,109.0,5.05,406.0
2026-06-04,1756.1,1757.0,1700.0,1708.4,255,EQ,48.0,5.31,224.0
2026-06-05,1730.0,1747.9,1700.0,1712.0,248,EQ,36.0,6.89,221.0
2026-06-08,1780.0,1780.0,1666.9,1695.5,306,EQ,55.0,5.56,226.0
2026-06-09,1744.0,1744.0,1693.9,1730.9,58,EQ,8.0,7.25,58.0
2026-06-10,1731.9,1732.0,1683.0,1712.5,238,EQ,40.0,5.95,199.0
2026-06-11,1680.3,1761.9,1680.0,1703.0,375,EQ,79.0,4.75,204.0
2026-06-12,1655.3,1730.0,1655.3,1717.0,94,EQ,19.0,4.95,64.0
2026-06-15,1755.0,1755.0,1692.1,1745.8,301,EQ,43.0,7.0,264.0
2026-06-16,1745.8,1755.0,1710.0,1739.1,104,EQ,15.0,6.93,104.0
2026-06-17,1750.0,1750.0,1690.3,1709.0,280,EQ,72.0,3.89,274.0
2026-06-18,1710.0,1730.0,1680.0,1704.1,229,EQ,44.0,5.2,178.0
2026-06-19,1650.0,1750.0,1650.0,1736.3,699,EQ,134.0,5.22,559.0
2026-06-22,1753.0,1832.9,1753.0,1794.9,2202,EQ,255.0,8.64,1435.0
2026-06-23,1828.0,1828.0,1740.0,1758.5,1178,EQ,83.0,14.19,1132.0
2026-06-24,1758.5,1798.0,1748.0,1781.2,1669,EQ,144.0,11.59,1608.0
2026-06-25,1799.9,1850.0,1741.1,1800.4,3516,EQ,411.0,8.55,3047.0
2026-06-29,1800.4,1850.0,1751.0,1777.1,4315,EQ,244.0,17.68,3774.0
2026-06-30,1776.0,1810.0,1742.0,1774.1,2960,EQ,323.0,9.16,2582.0
2026-07-01,1800.1,1800.1,1745.6,1754.8,2636,EQ,312.0,8.45,2403.0
2026-07-02,1754.8,1770.0,1744.4,1765.4,2213,EQ,120.0,18.44,2020.0
2026-07-03,1765.4,1789.9,1746.0,1770.3,2094,EQ,52.0,40.27,2083.0
2026-07-06,1800.0,1800.0,1758.0,1768.0,3329,EQ,196.0,16.98,3109.0
2026-07-07,1736.3,1756.0,1711.4,1731.6,2627,EQ,256.0,10.26,2164.0
2026-07-08,1701.3,1749.0,1700.0,1741.0,2470,EQ,290.0,8.52,2026.0
2026-07-09,1727.0,1815.6,1715.3,1787.4,1426,EQ,347.0,4.11,830.0
2026-07-10,1754.5,1792.7,1754.0,1767.2,927,EQ,117.0,7.92,732.0
2026-07-13,1767.7,1805.1,1748.2,1763.3,5874,EQ,783.0,7.5,4197.0
