Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,3599.0,3599.0,3000.0,3151.2,17,EQ,14.0,1.21,5.0
2026-08-18,3151.0,3151.0,2980.0,2985.6,22,EQ,10.0,2.2,19.0
2026-08-19,2986.0,3100.0,2985.0,3034.9,38,EQ,23.0,1.65,38.0
2026-08-20,3015.0,3015.0,2881.0,3000.0,112,EQ,40.0,2.8,102.0
2026-08-21,2999.0,3098.9,2925.0,2967.8,29,EQ,20.0,1.45,29.0
2026-08-24,3045.0,3045.0,2980.9,2985.0,24,EQ,13.0,1.85,24.0
2026-08-25,2985.0,3000.0,2985.0,2985.0,24,EQ,7.0,3.43,24.0
2026-08-26,2985.0,2985.0,2900.0,2901.8,123,EQ,29.0,4.24,121.0
2026-08-27,2900.9,3000.0,2900.9,2910.8,16,EQ,5.0,3.2,15.0
2026-08-28,2900.0,2900.0,2828.9,2855.0,8,EQ,6.0,1.33,7.0
2026-08-31,2856.0,2995.0,2855.0,2947.3,78,EQ,62.0,1.26,78.0
2026-09-01,2947.3,3049.9,2860.9,2889.8,11,EQ,9.0,1.22,11.0
2026-09-02,2860.9,2980.0,2860.9,2884.0,310,EQ,27.0,11.48,113.0
2026-09-03,2900.0,3025.0,2799.9,2898.3,89,EQ,25.0,3.56,82.0
2026-09-04,2898.0,2900.0,2810.0,2898.9,23,EQ,9.0,2.56,21.0
2026-09-07,2960.0,3020.0,2800.0,2945.0,126,EQ,36.0,3.5,106.0
2026-09-09,2878.0,2900.0,2877.9,2900.0,96,EQ,80.0,1.2,96.0
2026-09-11,2830.0,2979.9,2775.5,2845.0,125,EQ,27.0,4.63,110.0
2026-09-15,2800.9,2880.0,2750.0,2820.0,69,EQ,43.0,1.6,55.0
2026-09-16,2840.0,2860.0,2820.0,2820.0,7,EQ,7,1.0,7
2026-09-17,2820.0,2820.0,2820.0,2820.0,1,EQ,1,1.0,1
2026-09-18,2830.0,2830.0,2815.0,2830.0,52,EQ,11,4.73,52
