Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-21,105.0,105.0,99.75,99.75,657839,BE,2884.0,228.1,657839.0
2026-07-22,94.77,94.77,94.77,94.77,57588,BE,917.0,62.8,57588.0
2026-07-23,90.04,90.04,90.04,90.04,47934,BE,854.0,56.13,47934.0
2026-07-24,85.54,85.54,85.54,85.54,48238,BE,854.0,56.48,48238.0
2026-07-27,81.27,81.27,81.27,81.27,49122,BE,908.0,54.1,49122.0
2026-07-28,77.21,77.21,77.21,77.21,45620,BE,898.0,50.8,45620.0
2026-07-29,73.35,73.35,73.35,73.35,84594,BE,967.0,87.48,84594.0
2026-07-30,69.69,72.5,69.69,69.69,637522,BE,4876.0,130.75,637522.0
2026-07-31,66.21,73.17,66.21,73.15,883062,BE,7762.0,113.77,883062.0
2026-08-03,71.3,74.5,69.5,71.68,456767,BE,4786.0,95.44,456767.0
2026-08-04,70.44,71.14,67.67,68.04,540802,EQ,5513.0,98.1,311487.0
2026-08-05,67.35,70.3,67.35,67.82,451098,EQ,4184.0,107.82,193218.0
2026-08-06,67.85,68.85,66.0,66.25,283168,EQ,3661.0,77.35,179932.0
2026-08-07,65.3,66.0,63.02,63.27,320989,EQ,4810.0,66.73,189322.0
2026-08-10,63.01,66.88,63.01,63.74,265756,EQ,3462.0,76.76,124705.0
2026-08-11,63.74,64.0,62.05,62.27,221443,EQ,3255.0,68.03,132351.0
2026-08-12,62.3,63.0,60.8,61.62,202684,EQ,3132.0,64.71,104179.0
2026-08-13,61.62,62.49,60.0,60.28,239862,EQ,3636.0,65.97,129662.0
2026-08-14,60.0,61.99,58.49,58.6,300193,EQ,3886.0,77.25,149556.0
2026-08-17,56.87,58.34,55.25,57.14,398391,EQ,5608.0,71.04,194483.0
2026-08-18,56.55,63.56,56.55,60.46,561798,EQ,7797.0,72.05,152770.0
2026-08-19,60.77,61.9,58.51,58.88,175751,EQ,2925.0,60.09,79680.0
2026-08-20,58.89,60.72,58.48,59.41,204554,EQ,2643.0,77.39,71024.0
2026-08-21,59.1,59.94,58.1,58.5,109478,EQ,1727.0,63.39,53995.0
2026-08-24,58.51,60.05,57.0,57.33,155730,EQ,2160.0,72.1,75686.0
2026-08-25,56.94,57.29,55.55,55.84,135275,EQ,2022.0,66.9,85686.0
2026-08-26,54.6,57.63,54.6,55.77,174554,EQ,2437.0,71.63,80638.0
2026-08-27,56.08,56.49,55.35,55.67,124399,EQ,1468.0,84.74,65660.0
2026-08-28,55.91,56.79,54.5,55.16,201803,EQ,2329.0,86.65,82876.0
2026-08-31,55.16,55.99,53.2,53.62,160355,EQ,2223.0,72.13,103964.0
2026-09-01,53.4,54.3,51.5,51.95,163406,EQ,2162.0,75.58,96711.0
2026-09-02,51.69,52.38,50.46,51.09,293413,EQ,3046.0,96.33,150192.0
2026-09-03,51.12,59.34,51.12,57.17,1147753,EQ,8126.0,141.24,328786.0
2026-09-04,57.6,58.95,55.6,57.76,337604,EQ,3446.0,97.97,141040.0
2026-09-07,57.88,64.9,53.82,63.17,1259777,EQ,9125.0,138.06,420492.0
2026-09-08,63.17,64.75,62.0,62.6,266877,EQ,2611.0,102.21,113039.0
2026-09-09,61.95,62.9,57.8,59.63,195019,EQ,1915.0,101.84,94495.0
2026-09-10,59.63,60.0,57.22,58.22,125778,EQ,1419.0,88.64,69031.0
2026-09-11,58.5,58.5,56.35,57.13,94740,EQ,1527.0,62.04,42118.0
2026-09-15,57.11,57.39,53.5,54.68,94673,EQ,1535.0,61.68,51006.0
2026-09-16,54.8,55.18,49.15,52.33,340439,EQ,2868,118.7,193826
2026-09-17,53.75,55.25,52.42,52.9,117350,EQ,2151,54.56,53670
2026-09-18,52.05,54.0,52.05,52.66,133099,EQ,2003,66.45,70508
