Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,437.55,445.0,421.0,434.05,990,EQ,41.0,24.15,942.0
2026-08-18,442.0,455.0,438.05,440.3,5718,EQ,397.0,14.4,5347.0
2026-08-19,455.0,455.0,442.0,446.6,6116,EQ,586.0,10.44,5331.0
2026-08-20,450.35,452.0,437.9,443.95,4695,EQ,142.0,33.06,3732.0
2026-08-21,441.0,463.5,441.0,460.45,12685,EQ,404.0,31.4,10972.0
2026-08-24,430.0,460.0,430.0,458.6,7683,EQ,336.0,22.87,5041.0
2026-08-25,457.9,458.6,451.0,452.0,4291,EQ,169.0,25.39,3664.0
2026-08-26,475.0,475.0,452.2,453.8,2511,EQ,168.0,14.95,2056.0
2026-08-27,454.1,467.1,454.0,458.5,3929,EQ,191.0,20.57,2946.0
2026-08-28,469.9,484.0,459.5,477.9,17315,EQ,692.0,25.02,14518.0
2026-08-31,480.6,489.0,470.25,483.15,3736,EQ,424.0,8.81,2592.0
2026-09-01,478.7,504.0,478.7,496.9,15472,EQ,498.0,31.07,13459.0
2026-09-02,509.9,509.9,491.9,502.55,11146,EQ,518.0,21.52,9483.0
2026-09-03,502.0,504.05,495.1,502.15,10453,EQ,263.0,39.75,9569.0
2026-09-04,505.0,505.0,496.05,499.05,4229,EQ,162.0,26.1,3668.0
2026-09-07,500.05,505.5,496.15,499.15,6241,EQ,324.0,19.26,4536.0
2026-09-08,502.5,506.0,498.0,503.75,5727,EQ,264.0,21.69,4628.0
2026-09-09,500.1,503.45,483.3,500.1,3191,EQ,290.0,11.0,1935.0
2026-09-10,503.05,505.0,495.1,497.15,2392,EQ,163.0,14.67,1815.0
2026-09-11,484.05,499.0,484.05,487.4,8607,EQ,423.0,20.35,7160.0
2026-09-15,487.4,495.0,487.4,492.55,4714,EQ,180.0,26.19,4123.0
2026-09-16,490.2,495.25,477.3,494.2,6704,EQ,381,17.6,4312
2026-09-17,499.0,503.0,489.85,492.2,2082,EQ,158,13.18,1449
2026-09-18,494.85,542.5,494.85,537.15,28768,EQ,1472,19.54,19559
