Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,159.0,162.9,155.0,162.0,1281,EQ,25.0,51.24,1023.0
2026-08-18,162.3,162.3,157.05,157.57,2196,EQ,35.0,62.74,2185.0
2026-08-19,160.0,160.0,150.35,155.16,1537,EQ,73.0,21.05,967.0
2026-08-20,161.0,166.0,160.0,163.61,2874,EQ,65.0,44.22,2721.0
2026-08-21,160.0,165.0,156.0,161.2,4176,EQ,72.0,58.0,3946.0
2026-08-24,164.9,164.9,156.35,161.37,2872,EQ,139.0,20.66,2210.0
2026-08-25,158.61,165.0,157.0,160.05,1788,EQ,54.0,33.11,1343.0
2026-08-26,161.0,164.0,160.0,160.5,720,EQ,7.0,102.86,720.0
2026-08-27,160.5,160.5,159.0,160.0,153,EQ,10.0,15.3,152.0
2026-08-28,160.0,163.97,156.0,162.4,377,EQ,18.0,20.94,359.0
2026-08-31,162.4,162.4,159.0,162.24,877,EQ,43.0,20.4,877.0
2026-09-01,162.95,166.0,157.65,159.18,906,EQ,33.0,27.45,690.0
2026-09-02,158.0,160.0,155.0,156.13,598,EQ,24.0,24.92,457.0
2026-09-03,159.0,159.0,153.05,158.81,360,EQ,27.0,13.33,280.0
2026-09-04,159.0,164.68,158.0,160.94,9739,EQ,85.0,114.58,4886.0
2026-09-07,160.94,162.0,155.04,160.0,456,EQ,23.0,19.83,433.0
2026-09-08,161.0,162.9,161.0,161.05,574,EQ,18.0,31.89,574.0
2026-09-09,163.0,163.0,160.05,160.05,1108,EQ,15.0,73.87,957.0
2026-09-10,158.0,162.0,150.0,152.36,7568,EQ,142.0,53.3,6627.0
2026-09-11,151.6,154.95,148.01,150.14,4782,EQ,81.0,59.04,733.0
2026-09-15,154.93,154.93,147.0,148.09,3047,EQ,80.0,38.09,2720.0
2026-09-16,147.5,149.0,141.65,149.0,2026,EQ,254,7.98,1556
2026-09-17,145.5,149.0,145.5,148.88,1920,EQ,61,31.48,1527
2026-09-18,148.95,149.95,146.0,147.07,1260,EQ,38,33.16,1106
