Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,26.99,27.0,25.21,26.23,66557,EQ,516.0,128.99,53888.0
2026-08-18,27.28,27.28,25.35,25.98,36629,EQ,450.0,81.4,25517.0
2026-08-19,26.5,26.5,25.72,26.0,28910,EQ,261.0,110.77,18752.0
2026-08-20,25.75,26.55,25.75,26.12,27201,EQ,287.0,94.78,25616.0
2026-08-21,26.45,26.45,24.51,26.08,69940,EQ,311.0,224.89,62958.0
2026-08-24,26.06,26.9,25.0,26.44,53322,EQ,437.0,122.02,31845.0
2026-08-25,26.11,26.9,26.11,26.76,63676,EQ,278.0,229.05,56667.0
2026-08-26,26.99,30.49,26.54,29.44,918078,EQ,2938.0,312.48,538392.0
2026-08-27,28.65,29.62,27.56,27.99,278374,EQ,926.0,300.62,186970.0
2026-08-28,27.99,28.79,27.75,28.45,101147,EQ,393.0,257.37,80697.0
2026-08-31,28.65,28.89,27.8,27.89,95639,EQ,459.0,208.36,62082.0
2026-09-01,27.89,28.65,27.8,28.11,100589,EQ,387.0,259.92,67102.0
2026-09-02,27.66,28.35,27.51,28.15,123709,EQ,363.0,340.8,79295.0
2026-09-03,28.35,28.85,27.81,27.98,80346,EQ,348.0,230.88,55070.0
2026-09-04,28.0,28.5,27.79,27.93,42562,EQ,286.0,148.82,31163.0
2026-09-07,27.66,28.3,27.11,27.35,65412,EQ,441.0,148.33,53290.0
2026-09-08,27.35,27.79,26.8,27.18,60113,EQ,311.0,193.29,47397.0
2026-09-09,26.9,27.98,26.53,26.73,70262,EQ,496.0,141.66,40697.0
2026-09-10,26.73,27.19,26.55,26.77,35796,EQ,307.0,116.6,24773.0
2026-09-11,27.2,27.2,25.81,26.24,64991,EQ,545.0,119.25,32531.0
2026-09-15,26.1,26.89,25.31,25.65,63569,EQ,546.0,116.43,48277.0
2026-09-16,25.65,26.78,25.11,25.88,59473,EQ,470,126.54,41650
2026-09-17,25.88,26.69,25.1,26.08,88717,EQ,475,186.77,43206
2026-09-18,25.98,26.66,25.75,26.27,49555,EQ,410,120.87,38816
