Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2020-10-05,275.0,296.7,257.0,275.8,8546238,EQ,257439.0,33.2,2078844.0
2020-10-06,274.0,274.15,261.55,266.25,2721384,EQ,55430.0,49.1,957528.0
2020-10-07,262.9,270.0,262.5,265.55,820136,EQ,21649.0,37.88,365739.0
2020-10-08,267.05,273.35,264.55,270.85,738241,EQ,19664.0,37.54,251474.0
2020-10-09,270.85,276.0,270.0,274.85,556877,EQ,14608.0,38.12,241307.0
2020-10-12,275.0,276.9,265.0,269.45,440911,EQ,16161.0,27.28,242514.0
2020-10-13,266.35,272.0,263.0,269.8,369077,EQ,8960.0,41.19,122296.0
2020-10-14,267.15,269.0,260.6,261.8,231804,EQ,6282.0,36.9,99242.0
2020-10-15,263.0,266.15,255.0,257.25,215948,EQ,6788.0,31.81,106685.0
2020-10-16,257.1,260.5,243.0,245.1,229542,EQ,10117.0,22.69,109773.0
2020-10-19,247.0,248.3,234.3,235.85,309611,EQ,10637.0,29.11,141161.0
2020-10-20,235.85,236.85,223.8,224.65,297360,EQ,10056.0,29.57,130907.0
2020-10-21,222.2,243.8,222.2,238.95,1258953,EQ,22011.0,57.2,461331.0
2020-10-22,238.5,244.6,233.05,238.95,392676,EQ,10666.0,36.82,137160.0
2020-10-23,241.45,242.95,235.6,240.05,383393,EQ,9461.0,40.52,151725.0
2020-10-26,241.0,251.2,240.2,248.75,320284,EQ,8436.0,37.97,102368.0
2020-10-27,267.0,298.5,267.0,298.5,4710027,EQ,75274.0,62.57,1063464.0
2020-10-28,305.9,335.9,278.85,315.85,7045997,EQ,139521.0,50.5,1206238.0
2020-10-29,300.0,329.95,296.95,325.75,1977364,EQ,44288.0,44.65,681668.0
2020-10-30,327.95,379.0,327.0,353.35,4462994,EQ,96461.0,46.27,1185950.0
2020-11-02,353.65,354.0,314.3,315.9,933339,EQ,23676.0,39.42,375715.0
2020-11-03,312.5,328.9,296.5,298.9,848752,EQ,21871.0,38.81,253879.0
