Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-09-27,120.0,126.0,114.0,126.0,2338000,ST,979.0,2388.15,2322000.0
2022-09-28,121.9,127.0,119.7,119.7,278000,ST,123.0,2260.16,250000.0
2022-09-29,116.15,120.0,113.75,115.05,168000,ST,82.0,2048.78,158000.0
2022-09-30,113.0,116.85,109.3,115.65,242000,ST,113.0,2141.59,224000.0
2022-10-03,114.0,121.4,111.2,120.85,324000,ST,150.0,2160.0,304000.0
2022-10-04,123.0,126.75,118.0,120.25,146000,ST,67.0,2179.1,136000.0
2022-10-06,120.0,124.0,115.1,116.75,110000,ST,53.0,2075.47,104000.0
2022-10-07,119.0,122.55,115.0,121.6,140000,ST,67.0,2089.55,136000.0
2022-10-10,122.75,127.65,122.1,127.65,362000,ST,152.0,2381.58,346000.0
2022-10-11,133.0,134.0,130.0,134.0,184000,ST,84.0,2190.48,158000.0
2022-10-12,141.0,147.4,136.5,139.5,472000,SM,230.0,2052.17,310000.0
2022-10-13,141.0,141.0,126.1,131.7,216000,SM,103.0,2097.09,144000.0
2022-10-14,132.0,148.0,132.0,140.1,232000,SM,108.0,2148.15,136000.0
2022-10-17,143.0,158.95,142.0,155.95,366000,SM,183.0,2000.0,218000.0
2022-10-18,162.45,172.95,157.15,165.65,370000,SM,178.0,2078.65,218000.0
2022-10-19,165.65,166.0,156.3,158.3,202000,SM,99.0,2040.4,118000.0
2022-10-20,159.0,159.0,151.0,156.65,98000,SM,48.0,2041.67,54000.0
2022-10-21,159.65,164.0,154.05,157.95,140000,SM,65.0,2153.85,80000.0
2022-10-24,159.0,162.85,155.0,158.95,64000,SM,29.0,2206.9,38000.0
2022-10-25,156.15,159.7,150.25,152.65,94000,SM,44.0,2136.36,58000.0
2022-10-27,151.0,151.0,136.0,137.9,280000,SM,137.0,2043.8,190000.0
2022-10-28,140.0,142.6,139.0,140.15,122000,SM,58.0,2103.45,78000.0
2022-10-31,142.7,142.7,132.1,134.6,118000,SM,55.0,2145.45,88000.0
2022-11-01,135.8,135.8,132.0,133.35,94000,SM,42.0,2238.1,66000.0
2022-11-02,133.5,134.75,127.0,131.8,152000,SM,73.0,2082.19,94000.0
2022-11-03,131.3,141.0,129.0,138.25,180000,SM,87.0,2068.97,114000.0
2022-11-04,140.0,162.0,140.0,157.8,274000,SM,135.0,2029.63,156000.0
2022-11-07,160.0,165.25,155.5,160.95,256000,SM,122.0,2098.36,144000.0
2022-11-09,160.95,160.95,151.2,154.4,110000,SM,55.0,2000.0,66000.0
2022-11-10,151.5,160.0,150.1,155.4,56000,SM,28.0,2000.0,32000.0
2022-11-11,158.0,160.0,152.5,154.15,112000,SM,53.0,2113.21,74000.0
2022-11-14,157.5,157.5,132.0,133.9,356000,SM,167.0,2131.74,252000.0
2022-11-15,137.0,152.95,135.5,149.65,268000,SM,167.0,1604.79,252000.0
2022-11-16,149.35,149.35,139.0,143.35,214000,SM,68.0,3147.06,138000.0
2022-11-17,149.0,151.0,143.2,146.5,116000,SM,51.0,2274.51,84000.0
2022-11-18,148.9,148.9,142.05,145.7,102000,SM,48.0,2125.0,54000.0
2022-11-21,141.85,148.9,141.15,147.0,54000,SM,27.0,2000.0,34000.0
2022-11-22,144.1,144.1,140.0,140.65,60000,SM,30.0,2000.0,40000.0
2022-11-23,143.8,146.25,133.3,141.8,192000,SM,87.0,2206.9,122000.0
