Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-09-02,72.0,75.6,70.0,75.6,6333016,BE,11515.0,549.98,6333016.0
2026-09-03,74.8,74.8,71.82,71.82,2067647,BE,8802.0,234.91,2067647.0
2026-09-04,68.23,69.0,68.23,68.23,412335,BE,3486.0,118.28,412335.0
2026-09-07,64.82,64.82,64.82,64.82,124866,BE,1861.0,67.1,124866.0
2026-09-08,61.58,61.58,61.58,61.58,166981,BE,1576.0,105.95,166981.0
2026-09-09,58.51,58.51,58.51,58.51,188774,BE,1723.0,109.56,188774.0
2026-09-10,57.0,61.43,56.5,61.42,2362524,BE,8834.0,267.44,2362524.0
2026-09-11,59.09,59.7,58.35,58.35,291772,BE,1860.0,156.87,291772.0
2026-09-15,55.44,55.44,55.44,55.44,129616,BE,1366.0,94.89,129616.0
2026-09-16,52.67,52.67,52.67,52.67,94002,BE,1231,76.36,94002
2026-09-17,50.43,51.98,46.55,49.28,2867305,EQ,18703,153.31,1315300
2026-09-18,49.05,52.4,49.05,50.46,1339255,EQ,11172,119.88,452460
