Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,72.8,72.8,72.8,72.8,41,EQ,1.0,41.0,41.0
2026-08-18,76.0,76.0,73.0,73.0,145,EQ,8.0,18.12,145.0
2026-08-20,73.0,73.0,73.0,73.0,1,EQ,1.0,1.0,1.0
2026-08-21,75.0,75.0,73.0,73.5,391,EQ,14.0,27.93,336.0
2026-08-24,72.5,75.0,70.64,74.98,839,EQ,20.0,41.95,489.0
2026-08-25,74.97,75.0,74.0,74.0,5001,EQ,15.0,333.4,5001.0
2026-08-26,74.0,74.0,72.01,72.01,310,EQ,3.0,103.33,210.0
2026-08-27,73.5,85.69,72.01,85.69,263,EQ,4.0,65.75,262.0
2026-08-28,77.45,86.49,77.45,82.42,10639,EQ,172.0,61.85,8776.0
2026-08-31,82.42,82.42,77.0,77.0,919,EQ,49.0,18.76,907.0
2026-09-01,85.0,92.4,76.5,78.57,46059,EQ,956.0,48.18,16094.0
2026-09-02,82.0,82.0,76.1,78.91,1443,EQ,117.0,12.33,1139.0
2026-09-03,78.91,81.4,75.01,76.35,925,EQ,31.0,29.84,676.0
2026-09-04,75.0,83.0,75.0,80.68,905,EQ,13.0,69.62,888.0
2026-09-07,84.9,84.9,76.34,79.24,1438,EQ,70.0,20.54,1288.0
2026-09-08,89.99,89.99,80.0,82.5,1815,EQ,57.0,31.84,1241.0
2026-09-09,82.5,82.5,75.0,77.15,667,EQ,19.0,35.11,556.0
2026-09-10,77.0,86.0,76.21,80.9,2021,EQ,54.0,37.43,1349.0
2026-09-11,81.7,82.51,81.0,82.0,276,EQ,14.0,19.71,275.0
2026-09-15,82.0,87.0,79.0,84.0,10068,EQ,120.0,83.9,8783.0
2026-09-16,86.99,86.99,78.0,80.11,2850,EQ,43,66.28,2758
2026-09-17,83.25,83.25,81.99,83.0,138,EQ,19,7.26,137
2026-09-18,82.99,82.99,78.0,78.97,110,EQ,5,22.0,95
