Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-02,11.0,12.0,10.8,11.03,12404271,EQ,3058,4056.33,10773655
2026-03-04,11.03,11.15,10.03,10.17,2989981,EQ,2682,1114.83,2047978
2026-03-05,10.34,10.34,9.7,9.95,1230509,EQ,1999,615.56,759403
2026-03-06,10.0,10.2,9.82,9.88,779703,EQ,1306,597.02,574775
2026-03-09,10.0,10.0,9.76,9.81,1022649,EQ,1243,822.73,549853
2026-03-10,10.19,10.35,9.96,10.25,1344294,EQ,1112,1208.9,936747
2026-03-11,10.3,10.35,10.05,10.08,891143,EQ,1479,602.53,511442
2026-03-12,10.04,10.2,9.88,10.13,1029502,EQ,1381,745.48,470771
2026-03-13,10.1,10.1,9.69,9.81,1442118,EQ,3663,393.7,1143343
2026-03-16,9.75,9.75,9.2,9.35,1490100,EQ,1968,757.16,673432
2026-03-17,9.78,9.78,9.4,9.48,1076599,EQ,1122,959.54,504234
2026-03-18,9.39,9.5,9.33,9.47,823649,EQ,1148,717.46,351170
2026-03-19,9.47,9.47,8.76,8.84,2019616,EQ,2957,682.99,1075454
2026-03-20,8.96,9.05,8.73,8.85,766610,EQ,1684,455.23,445434
