Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-20,28.05,28.05,26.51,26.51,361,EQ,7.0,51.57,360.0
2026-08-24,26.51,26.51,25.31,25.31,1951,EQ,3.0,650.33,1950.0
2026-08-31,26.57,26.57,26.57,26.57,28,EQ,2.0,14.0,28.0
2026-09-02,26.58,26.58,25.25,25.25,500,EQ,7.0,71.43,500.0
2026-09-07,25.25,25.25,25.25,25.25,29,EQ,2.0,14.5,29.0
2026-09-08,25.25,26.51,25.0,25.3,1205,EQ,13.0,92.69,1201.0
2026-09-09,26.51,26.51,25.3,25.3,104,EQ,4.0,26.0,104.0
2026-09-10,25.3,26.56,24.04,26.56,958,EQ,11.0,87.09,947.0
2026-09-11,26.58,27.88,26.43,27.63,135,EQ,4.0,33.75,15.0
2026-09-15,28.18,28.18,27.0,27.02,296,EQ,14.0,21.14,296.0
2026-09-16,28.3,28.36,28.3,28.36,22,EQ,3,7.33,17
2026-09-17,27.79,29.75,27.79,29.75,192,EQ,4,48.0,182
2026-09-18,31.2,31.2,29.0,31.05,1516,EQ,41,36.98,1385
