Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,249.68,249.68,231.0,236.4,102,EQ,15.0,6.8,100.0
2026-08-18,236.4,236.4,224.58,233.75,667,EQ,20.0,33.35,667.0
2026-08-19,233.75,233.75,222.07,230.99,526,EQ,33.0,15.94,471.0
2026-08-20,230.0,230.0,229.84,229.84,50,EQ,5.0,10.0,50.0
2026-08-21,225.6,237.99,220.7,237.99,401,EQ,9.0,44.56,400.0
2026-08-24,229.0,233.99,226.1,233.99,11,EQ,8.0,1.38,11.0
2026-08-25,229.0,229.0,222.3,225.95,358,EQ,31.0,11.55,346.0
2026-08-26,229.95,232.0,220.15,228.0,226,EQ,16.0,14.12,220.0
2026-08-27,234.45,234.45,223.0,232.0,161,EQ,13.0,12.38,161.0
2026-08-28,231.99,235.0,221.05,226.22,114,EQ,8.0,14.25,112.0
2026-08-31,235.0,237.53,234.0,237.0,254,EQ,37.0,6.86,246.0
2026-09-01,230.0,235.0,225.9,233.0,124,EQ,16.0,7.75,73.0
2026-09-02,225.0,230.0,221.35,230.0,248,EQ,22.0,11.27,248.0
2026-09-03,230.0,235.0,224.1,228.3,58,EQ,14.0,4.14,55.0
2026-09-04,238.25,238.25,216.89,225.0,998,EQ,54.0,18.48,827.0
2026-09-07,228.8,236.25,224.05,233.87,1534,EQ,40.0,38.35,1250.0
2026-09-08,222.2,239.8,222.2,224.92,905,EQ,55.0,16.45,814.0
2026-09-09,231.9,234.9,223.0,226.83,358,EQ,44.0,8.14,235.0
2026-09-10,232.0,238.17,228.0,238.0,2888,EQ,43.0,67.16,2219.0
2026-09-11,240.0,249.9,235.0,249.9,3115,EQ,127.0,24.53,2672.0
2026-09-15,262.39,262.39,262.39,262.39,1510,EQ,16.0,94.38,1510.0
2026-09-16,275.5,275.5,250.35,274.16,19792,EQ,254,77.92,18400
2026-09-17,274.16,280.7,260.46,260.57,2875,EQ,178,16.15,1881
2026-09-18,260.46,272.98,250.0,262.0,3408,EQ,70,48.69,2076
