Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-12,72.0,73.19,65.8,67.12,130275850,EQ,417636.0,311.94,50848529.0
2026-08-13,67.12,68.45,64.11,64.87,20045799,EQ,74749.0,268.17,6071418.0
2026-08-14,64.78,64.78,58.61,59.15,22017200,EQ,75152.0,292.97,8488003.0
2026-08-17,60.0,62.85,59.45,62.34,12512121,EQ,41739.0,299.77,3675676.0
2026-08-18,62.15,64.86,60.61,63.89,12405716,EQ,45705.0,271.43,3675409.0
2026-08-19,64.19,64.6,62.52,63.38,8831911,EQ,30662.0,288.04,2334888.0
2026-08-20,63.68,63.93,60.85,61.48,6709975,EQ,23536.0,285.09,2586861.0
2026-08-21,62.0,62.8,59.7,60.2,4833328,EQ,20473.0,236.08,2024060.0
2026-08-24,60.01,60.98,58.57,59.43,5192086,EQ,21730.0,238.94,1980825.0
2026-08-25,59.8,61.85,56.0,56.99,12659023,EQ,44453.0,284.77,3268520.0
2026-08-26,57.0,57.6,55.66,55.92,5357426,EQ,20700.0,258.81,2038852.0
2026-08-27,55.95,60.49,55.95,59.28,8140152,EQ,30912.0,263.33,2398816.0
2026-08-28,59.96,61.96,58.78,61.16,6521624,EQ,25408.0,256.68,2287089.0
2026-08-31,61.17,61.32,57.53,58.21,3540606,EQ,14627.0,242.06,1486073.0
2026-09-01,58.0,58.61,55.9,56.2,3590794,EQ,15056.0,238.5,1735410.0
2026-09-02,56.45,57.49,55.71,56.4,2698066,EQ,11756.0,229.51,984727.0
2026-09-03,56.79,57.73,54.48,54.84,4822946,EQ,18861.0,255.71,2344159.0
2026-09-04,55.97,56.14,55.2,55.66,2239330,EQ,12131.0,184.6,799363.0
2026-09-07,55.66,57.7,54.66,56.09,4068340,EQ,18319.0,222.08,1683014.0
2026-09-08,56.2,56.2,54.51,54.74,3009161,EQ,13013.0,231.24,1535840.0
2026-09-09,54.63,55.0,52.65,53.27,3960688,EQ,16996.0,233.04,1912824.0
2026-09-10,53.5,54.5,52.39,52.62,3003161,EQ,14518.0,206.86,1322234.0
2026-09-11,52.0,52.5,50.48,50.91,4081585,EQ,17391.0,234.7,1492690.0
2026-09-15,51.6,52.65,47.5,47.78,5215440,EQ,28386.0,183.73,2950277.0
2026-09-16,47.48,48.83,46.5,47.42,3672515,EQ,17908,205.08,1279329
2026-09-17,47.27,49.39,47.26,48.97,3049502,EQ,14510,210.17,1115257
2026-09-18,49.0,49.52,48.36,49.28,1819919,EQ,8273,219.98,690004
