Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,582.85,599.9,582.85,599.9,3,EQ,2.0,1.5,3.0
2026-08-18,599.9,599.9,570.0,599.9,12,EQ,3.0,4.0,12.0
2026-08-19,590.0,590.0,583.95,587.0,20,EQ,7.0,2.86,20.0
2026-08-20,593.0,593.0,570.0,585.0,317,EQ,20.0,15.85,257.0
2026-08-21,608.0,610.0,590.0,610.0,379,EQ,21.0,18.05,373.0
2026-08-24,613.05,613.05,595.0,605.15,676,EQ,61.0,11.08,646.0
2026-08-25,605.15,630.0,605.15,625.05,789,EQ,33.0,23.91,690.0
2026-08-26,615.0,625.0,615.0,625.0,74,EQ,5.0,14.8,74.0
2026-08-27,625.0,625.0,625.0,625.0,1,EQ,1.0,1.0,1.0
2026-08-28,620.0,674.95,614.0,644.3,709,EQ,26.0,27.27,552.0
2026-08-31,648.0,649.95,615.0,649.95,125,EQ,15.0,8.33,121.0
2026-09-01,635.0,635.0,625.0,625.0,26,EQ,2.0,13.0,26.0
2026-09-02,635.0,640.0,620.0,639.95,229,EQ,6.0,38.17,201.0
2026-09-03,622.4,638.0,605.0,626.5,532,EQ,22.0,24.18,526.0
2026-09-04,615.0,626.35,615.0,620.2,129,EQ,10.0,12.9,87.0
2026-09-07,620.2,630.0,610.2,630.0,34,EQ,7.0,4.86,34.0
2026-09-08,639.0,639.0,639.0,639.0,1,EQ,1.0,1.0,1.0
2026-09-09,639.0,639.0,618.0,621.65,459,EQ,125.0,3.67,348.0
2026-09-10,610.0,625.0,610.0,625.0,34,EQ,7.0,4.86,34.0
2026-09-11,635.0,635.0,615.0,635.0,112,EQ,16.0,7.0,112.0
2026-09-15,632.0,632.0,632.0,632.0,5,EQ,1.0,5.0,5.0
2026-09-16,610.0,634.0,610.0,610.0,170,EQ,11,15.45,155
2026-09-17,610.0,610.0,610.0,610.0,38,EQ,2,19.0,38
2026-09-18,634.0,634.0,625.0,629.25,138,EQ,78,1.77,138
