Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,9.95,9.95,8.64,9.73,1154,EQ,24.0,48.08,1078.0
2026-08-18,9.5,9.69,9.11,9.46,3285,EQ,48.0,68.44,2474.0
2026-08-19,9.0,9.7,8.8,9.03,11910,EQ,38.0,313.42,9953.0
2026-08-20,9.49,9.49,9.06,9.42,1174,EQ,12.0,97.83,1014.0
2026-08-21,9.0,9.6,9.0,9.33,6247,EQ,31.0,201.52,5172.0
2026-08-24,9.01,9.7,9.01,9.6,43195,EQ,49.0,881.53,37645.0
2026-08-25,9.9,9.9,9.3,9.59,3298,EQ,65.0,50.74,3296.0
2026-08-26,9.59,9.93,9.24,9.57,4773,EQ,52.0,91.79,3757.0
2026-08-27,9.38,9.74,9.32,9.65,4657,EQ,50.0,93.14,2965.0
2026-08-28,9.9,10.99,9.72,10.89,58850,EQ,252.0,233.53,46685.0
2026-08-31,9.99,10.99,9.99,10.22,17485,EQ,165.0,105.97,12605.0
2026-09-01,10.22,10.65,9.72,10.17,13782,EQ,137.0,100.6,10432.0
2026-09-02,10.17,10.17,9.75,9.83,3443,EQ,45.0,76.51,3346.0
2026-09-03,10.15,10.15,9.67,9.76,3167,EQ,51.0,62.1,2158.0
2026-09-04,9.5,9.76,9.34,9.74,16866,EQ,64.0,263.53,16169.0
2026-09-07,10.0,10.0,9.2,9.5,12163,EQ,88.0,138.22,8168.0
2026-09-08,9.89,9.89,9.37,9.69,1503,EQ,36.0,41.75,1257.0
2026-09-09,9.7,9.79,8.6,9.52,7352,EQ,55.0,133.67,5197.0
2026-09-10,9.05,10.7,9.0,9.23,49541,EQ,163.0,303.93,14185.0
2026-09-11,9.46,9.85,9.22,9.25,1124,EQ,33.0,34.06,1039.0
2026-09-15,9.9,9.9,8.22,8.69,11719,EQ,76.0,154.2,11592.0
2026-09-16,9.25,9.49,8.66,9.19,11228,EQ,86,130.56,10208
2026-09-17,9.7,9.7,9.0,9.34,11943,EQ,87,137.28,7931
2026-09-18,9.53,9.78,9.2,9.28,8933,EQ,52,171.79,8149
