Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-31,961.0,1019.8,900.0,908.15,17691142,EQ,529603.0,33.4,5825808.0
2026-09-01,899.45,899.95,851.0,866.25,3757111,EQ,118548.0,31.69,1030854.0
2026-09-02,865.0,952.85,857.05,952.85,4700620,EQ,129866.0,36.2,1256626.0
2026-09-03,975.0,979.95,912.0,922.7,3652464,EQ,96061.0,38.02,811140.0
2026-09-04,922.7,940.1,894.0,901.5,942895,EQ,33716.0,27.97,292278.0
2026-09-07,908.8,931.4,878.1,891.6,1669696,EQ,55276.0,30.21,316708.0
2026-09-08,899.0,909.95,882.8,893.4,693093,EQ,27059.0,25.61,235283.0
2026-09-09,885.5,926.2,885.5,895.3,1284516,EQ,46144.0,27.84,285478.0
2026-09-10,910.2,950.0,890.8,917.5,2403694,EQ,79799.0,30.12,538871.0
2026-09-11,915.0,915.0,873.7,886.15,1169259,EQ,37460.0,31.21,371913.0
2026-09-15,889.95,889.95,825.3,832.25,930427,EQ,31309.0,29.72,322439.0
2026-09-16,836.2,851.45,812.1,833.05,732796,EQ,22820,32.11,237323
2026-09-17,835.0,844.2,806.05,811.1,441991,EQ,15938,27.73,164501
2026-09-18,815.0,884.0,813.0,874.35,898791,EQ,33798,26.59,297171
