Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,125.0,125.0,122.87,122.87,263,EQ,8.0,32.88,263.0
2026-08-18,122.87,126.75,110.0,114.3,776,EQ,55.0,14.11,671.0
2026-08-19,111.5,133.9,111.5,121.3,12941,EQ,453.0,28.57,7973.0
2026-08-20,130.0,133.8,125.02,126.7,3439,EQ,92.0,37.38,1769.0
2026-08-21,125.0,128.99,125.0,126.82,1067,EQ,31.0,34.42,719.0
2026-08-24,124.28,126.82,122.0,126.4,1157,EQ,40.0,28.92,1047.0
2026-08-25,127.0,128.99,122.75,123.17,336,EQ,20.0,16.8,182.0
2026-08-26,122.0,126.98,122.0,124.01,2521,EQ,52.0,48.48,1651.0
2026-08-27,134.0,134.0,118.6,121.01,5096,EQ,181.0,28.15,3414.0
2026-08-28,120.01,125.0,119.99,123.28,1859,EQ,53.0,35.08,1300.0
2026-08-31,128.95,128.95,120.0,122.65,1232,EQ,33.0,37.33,909.0
2026-09-01,121.5,125.94,120.6,122.72,705,EQ,54.0,13.06,693.0
2026-09-02,125.9,125.9,121.35,121.4,59,EQ,4.0,14.75,49.0
2026-09-03,125.0,125.0,122.1,124.7,263,EQ,15.0,17.53,233.0
2026-09-04,124.7,124.7,121.3,124.7,951,EQ,37.0,25.7,794.0
2026-09-07,125.95,131.0,125.0,125.0,5309,EQ,69.0,76.94,3784.0
2026-09-08,125.95,129.5,121.0,121.41,11816,EQ,71.0,166.42,11130.0
2026-09-09,125.95,125.95,118.0,122.95,1041,EQ,38.0,27.39,870.0
2026-09-10,129.0,139.0,120.21,127.04,5658,EQ,127.0,44.55,4809.0
2026-09-11,127.04,137.0,124.2,135.29,6029,EQ,289.0,20.86,3920.0
2026-09-15,130.0,139.0,122.08,127.31,6842,EQ,194.0,35.27,5213.0
2026-09-16,130.0,130.0,121.5,126.95,2381,EQ,92,25.88,2145
2026-09-17,129.48,134.99,124.2,127.71,4765,EQ,102,46.72,2556
2026-09-18,130.0,137.0,130.0,131.41,2596,EQ,105,24.72,1463
