Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,0.94,0.94,0.75,0.9,2803162,EQ,1404.0,1996.55,2074314.0
2026-08-18,0.9,0.94,0.9,0.9,4124773,EQ,1181.0,3492.61,1512060.0
2026-08-19,0.92,0.93,0.9,0.9,2676392,EQ,957.0,2796.65,1062867.0
2026-08-20,0.9,0.91,0.88,0.88,9386636,EQ,1331.0,7052.32,3556892.0
2026-08-21,0.89,0.9,0.88,0.88,3087303,EQ,1052.0,2934.7,2200792.0
2026-08-24,0.88,0.9,0.88,0.88,2178727,EQ,1117.0,1950.52,1260692.0
2026-08-25,0.9,0.9,0.88,0.88,3142695,EQ,1053.0,2984.52,1851614.0
2026-08-26,0.88,0.92,0.88,0.89,7967210,EQ,1539.0,5176.87,1991004.0
2026-08-27,0.89,0.9,0.87,0.87,5152468,EQ,1338.0,3850.87,2907583.0
2026-08-28,0.87,0.89,0.87,0.87,2849676,EQ,1104.0,2581.23,1495955.0
2026-08-31,0.88,0.88,0.86,0.86,4988255,EQ,1462.0,3411.94,2502481.0
2026-09-01,0.87,0.88,0.81,0.82,9823178,EQ,2227.0,4410.95,5574724.0
2026-09-02,0.83,0.85,0.8,0.82,17145793,EQ,2083.0,8231.3,7500121.0
2026-09-03,0.83,0.84,0.82,0.82,4293598,EQ,1173.0,3660.36,2880030.0
2026-09-04,0.83,0.83,0.82,0.82,2992770,EQ,1245.0,2403.83,1678248.0
2026-09-07,0.82,0.85,0.82,0.83,3867349,EQ,1388.0,2786.27,1793386.0
2026-09-08,0.84,0.85,0.83,0.84,3518500,EQ,1162.0,3027.97,1762831.0
2026-09-09,0.83,0.85,0.82,0.82,4345874,EQ,1276.0,3405.86,1660269.0
2026-09-10,0.83,0.84,0.81,0.82,3178287,EQ,1120.0,2837.76,2526591.0
2026-09-11,0.83,0.83,0.81,0.81,3112294,EQ,1139.0,2732.48,1751410.0
2026-09-15,0.81,0.83,0.8,0.81,4652378,EQ,1415.0,3287.9,2985085.0
2026-09-16,0.8,0.82,0.79,0.79,4352430,EQ,1567,2777.56,2597230
2026-09-17,0.79,0.8,0.78,0.78,4211615,EQ,1540,2734.81,2230715
2026-09-18,0.78,0.83,0.77,0.8,2535570,EQ,1469,1726.05,1533767
