Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,98.99,98.99,72.97,91.48,2376,EQ,53.0,44.83,2033.0
2026-08-18,96.0,96.0,90.05,90.93,44603,EQ,580.0,76.9,14735.0
2026-08-19,91.01,93.7,90.9,91.74,24680,EQ,206.0,119.81,4607.0
2026-08-20,92.0,93.55,88.6,89.76,17242,EQ,222.0,77.67,5464.0
2026-08-21,90.01,93.35,89.0,90.47,23654,EQ,380.0,62.25,5490.0
2026-08-24,90.6,92.5,89.7,90.67,35533,EQ,658.0,54.0,13019.0
2026-08-25,91.0,92.06,90.56,90.71,25897,EQ,316.0,81.95,6669.0
2026-08-26,90.85,91.59,89.7,90.03,5826,EQ,204.0,28.56,1672.0
2026-08-27,92.0,98.9,89.95,96.8,11894,EQ,190.0,62.6,2965.0
2026-08-28,96.8,98.99,89.13,93.5,49897,EQ,686.0,72.74,20452.0
2026-08-31,93.4,94.39,88.15,90.26,52431,EQ,707.0,74.16,12848.0
2026-09-01,91.99,91.99,89.49,90.37,35851,EQ,356.0,100.71,9815.0
2026-09-02,91.99,91.99,88.15,89.09,19649,EQ,441.0,44.56,7641.0
2026-09-03,89.55,91.0,87.21,90.32,20933,EQ,403.0,51.94,3902.0
2026-09-04,90.32,90.97,89.0,89.59,36841,EQ,402.0,91.64,10262.0
2026-09-07,91.98,91.98,89.0,89.88,66631,EQ,735.0,90.65,10738.0
2026-09-08,90.25,91.0,89.0,89.86,43050,EQ,603.0,71.39,7250.0
2026-09-09,90.0,90.95,87.0,89.26,31921,EQ,532.0,60.0,7854.0
2026-09-10,90.0,93.49,85.05,86.79,43615,EQ,731.0,59.66,3991.0
2026-09-11,88.53,88.78,83.25,87.13,33984,EQ,287.0,118.41,4008.0
2026-09-15,90.0,90.0,81.5,84.11,13007,EQ,434.0,29.97,5483.0
2026-09-16,84.95,89.86,82.45,84.36,28956,EQ,438,66.11,3105
2026-09-17,84.36,87.16,84.0,85.07,13237,EQ,344,38.48,3811
2026-09-18,85.04,88.49,80.34,82.18,36707,EQ,708,51.85,5870
