Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-21,21.45,22.87,21.22,21.25,7372,EQ,38.0,194.0,6685.0
2026-07-22,21.04,21.08,20.83,20.95,1410,EQ,11.0,128.18,1409.0
2026-07-23,21.37,24.9,20.53,24.9,1705,EQ,25.0,68.2,632.0
2026-07-24,21.7,21.77,20.17,20.97,82583,EQ,626.0,131.92,66973.0
2026-07-27,20.97,20.98,20.75,20.87,14201,EQ,69.0,205.81,14189.0
2026-07-28,20.65,21.33,20.5,20.73,18109,EQ,45.0,402.42,13182.0
2026-07-29,20.81,20.98,20.79,20.92,5786,EQ,20.0,289.3,4810.0
2026-07-30,21.19,21.19,20.71,21.03,1806,EQ,26.0,69.46,1560.0
2026-07-31,21.03,21.03,20.8,20.98,933,EQ,20.0,46.65,922.0
2026-08-03,20.98,21.15,20.82,20.82,5999,EQ,21.0,285.67,4784.0
2026-08-04,20.99,21.09,20.76,20.79,4192,EQ,23.0,182.26,4150.0
2026-08-05,20.97,21.14,20.7,20.88,1421,EQ,18.0,78.94,1393.0
2026-08-06,20.94,21.29,20.94,21.29,2305,EQ,14.0,164.64,1906.0
2026-08-07,21.15,22.3,21.0,21.01,1543,EQ,27.0,57.15,1436.0
2026-08-10,21.11,21.55,20.86,21.53,2227,EQ,19.0,117.21,2227.0
2026-08-11,21.35,21.35,20.82,20.93,18451,EQ,92.0,200.55,17346.0
2026-08-12,20.93,20.96,20.82,20.83,1646,EQ,15.0,109.73,1646.0
2026-08-13,20.83,20.87,20.73,20.78,77,EQ,12.0,6.42,75.0
2026-08-14,20.78,21.0,20.67,21.0,511,EQ,8.0,63.88,510.0
2026-08-17,21.06,21.06,20.72,20.97,2864,EQ,20.0,143.2,2459.0
2026-08-18,20.97,20.99,20.75,20.79,898,EQ,10.0,89.8,896.0
2026-08-19,20.79,20.79,20.62,20.62,1282,EQ,21.0,61.05,1282.0
2026-08-20,20.76,20.88,20.76,20.86,1249,EQ,11.0,113.55,1249.0
2026-08-21,21.69,21.69,20.82,21.24,1321,EQ,20.0,66.05,851.0
2026-08-24,21.17,21.17,20.83,20.98,4347,EQ,44.0,98.8,4239.0
2026-08-25,20.85,21.54,20.69,20.88,941,EQ,7.0,134.43,841.0
2026-08-26,20.92,21.08,20.87,21.0,1433,EQ,18.0,79.61,711.0
2026-08-27,20.84,21.04,20.76,20.95,1144,EQ,17.0,67.29,1086.0
2026-08-28,21.15,21.15,20.7,20.77,1494,EQ,13.0,114.92,1435.0
2026-08-31,20.87,20.97,20.74,20.8,400,EQ,29.0,13.79,370.0
2026-09-01,20.9,21.39,20.52,20.74,9190,EQ,35.0,262.57,8044.0
2026-09-02,20.61,20.75,20.61,20.61,1489,EQ,9.0,165.44,1255.0
2026-09-03,20.69,20.69,20.69,20.69,222,EQ,1.0,222.0,222.0
2026-09-04,20.69,20.92,20.68,20.9,538,EQ,10.0,53.8,511.0
2026-09-07,21.0,21.0,20.61,20.76,1418,EQ,15.0,94.53,1414.0
2026-09-08,20.69,20.69,20.49,20.52,715,EQ,15.0,47.67,289.0
2026-09-09,20.62,20.99,20.3,20.42,1824,EQ,26.0,70.15,1349.0
2026-09-10,20.52,20.68,20.24,20.28,12551513,EQ,130.0,96550.1,11720895.0
2026-09-11,20.28,20.46,20.13,20.21,31320,EQ,55.0,569.45,6669.0
2026-09-15,20.31,20.99,19.73,19.81,7312,EQ,50.0,146.24,3205.0
2026-09-16,20.26,20.55,20.26,20.4,1871,EQ,36,51.97,1378
2026-09-17,20.41,20.51,20.15,20.27,12244,EQ,42,291.52,9900
2026-09-18,20.22,20.52,20.22,20.47,6250,EQ,19,328.95,5199
