Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,10178.0,10178.0,10178.0,10178.0,2,EQ,2.0,1.0,2.0
2026-08-18,10190.0,10300.0,10100.0,10205.0,50,EQ,13.0,3.85,48.0
2026-08-19,10050.0,10500.0,10000.0,10189.0,160,EQ,34.0,4.71,155.0
2026-08-20,10200.0,10250.0,10200.0,10200.0,86,EQ,29.0,2.97,60.0
2026-08-21,10245.0,10299.0,10200.0,10200.0,61,EQ,15.0,4.07,59.0
2026-08-24,10298.0,10500.0,10200.0,10336.0,170,EQ,37.0,4.59,95.0
2026-08-25,10300.0,10300.0,10201.0,10201.0,33,EQ,10.0,3.3,31.0
2026-08-26,10202.0,10333.0,10200.0,10200.0,23,EQ,11.0,2.09,21.0
2026-08-27,10275.0,10275.0,10081.0,10200.0,23,EQ,5.0,4.6,22.0
2026-08-28,10025.0,10270.0,10000.0,10122.0,167,EQ,24.0,6.96,164.0
2026-08-31,10101.0,10290.0,9965.0,10200.0,124,EQ,35.0,3.54,90.0
2026-09-01,10200.0,10349.0,10141.0,10312.0,74,EQ,20.0,3.7,63.0
2026-09-02,10201.0,10300.0,10008.0,10155.0,44,EQ,17.0,2.59,36.0
2026-09-03,10200.0,10249.0,10160.0,10200.0,96,EQ,24.0,4.0,94.0
2026-09-04,10270.0,10270.0,10200.0,10200.0,107,EQ,30.0,3.57,107.0
2026-09-07,10248.0,10399.0,10052.0,10134.0,39,EQ,14.0,2.79,32.0
2026-09-08,10120.0,10250.0,10120.0,10250.0,57,EQ,8.0,7.12,57.0
2026-09-09,10148.0,10555.0,10070.0,10520.0,279,EQ,123.0,2.27,217.0
2026-09-10,10360.0,11200.0,10205.0,10736.0,341,EQ,153.0,2.23,269.0
2026-09-11,10897.0,11100.0,10796.0,11085.0,467,EQ,138.0,3.38,407.0
2026-09-15,11199.0,11499.0,10460.0,11001.0,250,EQ,100.0,2.5,153.0
2026-09-16,11390.0,11395.0,10541.0,10789.0,284,EQ,70,4.06,206
2026-09-17,10896.0,11097.0,10555.0,10800.0,60,EQ,22,2.73,40
2026-09-18,10612.0,10700.0,10551.0,10588.0,37,EQ,8,4.62,33
