Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-13,111.0,111.0,105.45,105.5,1963200,ST,704,2788.64,1963200
2026-02-16,100.25,100.25,100.25,100.25,3600,ST,3,1200.0,3600
2026-02-17,95.25,105.25,95.25,99.15,636000,ST,156,4076.92,612000
2026-02-18,94.2,99.9,94.2,99.2,196800,ST,54,3644.44,192000
2026-02-19,95.0,95.0,94.25,94.25,20400,ST,16,1275.0,19200
2026-02-20,90.5,98.0,89.55,92.25,70800,ST,26,2723.08,67200
2026-02-23,95.0,95.2,91.4,94.1,78000,ST,29,2689.66,78000
2026-02-24,91.0,94.1,91.0,94.1,3600,ST,3,1200.0,2400
2026-02-25,95.4,95.5,95.0,95.0,27600,ST,6,4600.0,27600
2026-02-26,95.0,95.0,91.0,94.95,3600,ST,3,1200.0,3600
2026-02-27,93.0,97.9,92.0,95.65,18000,SM,15,1200.0,15600
2026-03-02,89.6,93.8,84.75,92.25,37200,SM,29,1282.76,12000
2026-03-04,90.5,92.7,88.1,92.15,16800,SM,14,1200.0,6000
2026-03-05,95.0,95.0,89.5,89.5,7200,SM,6,1200.0,1200
2026-03-06,91.8,95.95,89.0,91.7,20400,SM,15,1360.0,8400
2026-03-09,88.0,101.0,87.15,96.7,33600,SM,23,1460.87,22800
2026-03-10,92.0,102.0,92.0,99.85,133200,SM,46,2895.65,121200
2026-03-11,104.0,104.0,100.0,101.0,7200,SM,5,1440.0,7200
2026-03-12,109.9,109.9,97.0,97.35,200400,SM,52,3853.85,148800
2026-03-13,96.95,101.6,96.05,100.65,100800,SM,44,2290.91,80400
