Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-19,465.0,537.0,458.7,502.2,37618013,EQ,581589.0,64.68,7408773.0
2026-08-20,525.1,548.0,497.2,504.25,23599466,EQ,317269.0,74.38,2514034.0
2026-08-21,504.25,519.0,492.4,494.95,6765126,EQ,107814.0,62.75,899189.0
2026-08-24,495.85,499.45,452.0,460.15,3313371,EQ,53801.0,61.59,823184.0
2026-08-25,463.75,474.55,441.3,450.3,2752275,EQ,44695.0,61.58,460235.0
2026-08-26,454.3,479.95,431.2,470.85,6762367,EQ,103593.0,65.28,841732.0
2026-08-27,469.0,483.0,458.2,469.85,2844518,EQ,43885.0,64.82,354809.0
2026-08-28,470.0,470.5,452.3,457.45,1468288,EQ,25019.0,58.69,320210.0
2026-08-31,457.45,463.2,435.1,440.7,972620,EQ,19403.0,50.13,247926.0
2026-09-01,441.2,447.0,432.0,436.4,1089456,EQ,18152.0,60.02,248809.0
2026-09-02,434.0,452.8,431.1,445.25,1657322,EQ,26294.0,63.03,233133.0
2026-09-03,448.8,465.5,443.2,454.25,1940745,EQ,33833.0,57.36,289348.0
2026-09-04,454.25,458.8,448.0,453.15,823610,EQ,13315.0,61.86,254768.0
2026-09-07,456.3,483.0,456.0,478.3,2567920,EQ,42227.0,60.81,620334.0
2026-09-08,477.75,485.0,448.0,451.05,2671760,EQ,50899.0,52.49,586554.0
2026-09-09,452.0,465.8,451.15,456.75,1056205,EQ,20208.0,52.27,307758.0
2026-09-10,458.9,461.65,437.15,441.6,563397,EQ,13287.0,42.4,220713.0
2026-09-11,437.95,445.05,429.0,442.15,733830,EQ,17557.0,41.8,163091.0
2026-09-15,445.0,447.7,433.85,439.65,646232,EQ,20564.0,31.43,204100.0
2026-09-16,435.0,436.7,415.0,428.4,591112,EQ,17485,33.81,156009
2026-09-17,430.1,437.9,423.2,436.1,530677,EQ,13455,39.44,139294
2026-09-18,437.9,444.3,434.2,440.4,370777,EQ,7821,47.41,165507
