Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,23.7,24.5,21.55,21.83,1099296,EQ,3308.0,332.31,599742.0
2026-08-18,21.98,23.55,21.5,22.85,4225295,EQ,7960.0,530.82,1731002.0
2026-08-19,22.86,22.98,22.1,22.36,1565205,EQ,3398.0,460.63,853024.0
2026-08-20,22.4,23.21,22.26,22.47,1406731,EQ,3240.0,434.18,635902.0
2026-08-21,22.5,22.9,22.0,22.22,948721,EQ,2253.0,421.09,582525.0
2026-08-24,23.04,23.49,22.82,22.98,3397715,EQ,6520.0,521.12,1741839.0
2026-08-25,23.99,23.99,22.1,22.28,2393447,EQ,4662.0,513.39,1370431.0
2026-08-26,22.45,22.91,19.8,20.02,8600073,EQ,12417.0,692.6,4026312.0
2026-08-27,20.64,20.85,19.9,20.43,4216077,EQ,8737.0,482.55,1636741.0
2026-08-28,20.6,20.9,19.9,20.19,3212056,EQ,4679.0,686.48,1506472.0
2026-08-31,20.22,20.64,19.95,20.25,2827239,EQ,5583.0,506.4,1114144.0
2026-09-01,20.26,20.28,19.9,19.99,1271193,EQ,3071.0,413.93,754711.0
2026-09-02,20.0,20.02,19.61,19.89,1134230,EQ,2742.0,413.65,630517.0
2026-09-03,20.01,20.34,19.69,19.9,1111985,EQ,3031.0,366.87,539129.0
2026-09-04,19.85,20.15,19.8,19.88,1013239,EQ,2267.0,446.95,610290.0
2026-09-07,19.92,20.16,19.62,19.69,826444,EQ,2257.0,366.17,450956.0
2026-09-08,19.85,20.1,19.56,19.75,1221023,EQ,2601.0,469.44,558016.0
2026-09-09,19.89,19.89,19.55,19.7,722640,EQ,1886.0,383.16,352227.0
2026-09-10,19.73,19.92,19.3,19.5,1031852,EQ,2617.0,394.29,554619.0
2026-09-11,19.5,19.5,19.1,19.13,846423,EQ,2924.0,289.47,440571.0
2026-09-15,19.35,20.47,19.05,19.19,1858911,EQ,5555.0,334.64,625351.0
2026-09-16,19.24,19.74,18.85,19.59,1424515,EQ,3661,389.11,580332
2026-09-17,19.59,19.71,19.44,19.57,543486,EQ,1603,339.04,276367
2026-09-18,19.65,19.65,19.25,19.34,493433,EQ,1896,260.25,278765
