Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,439.0,439.0,420.0,420.0,56,EQ,8.0,7.0,54.0
2026-04-21,420.0,420.0,398.95,401.6,61,EQ,9.0,6.78,59.0
2026-04-23,415.0,439.0,390.05,416.1,111,EQ,38.0,2.92,78.0
2026-04-27,341.9,465.0,340.5,365.5,405,EQ,21.0,19.29,363.0
2026-04-28,429.9,438.0,400.0,423.1,2970,EQ,222.0,13.38,825.0
2026-04-29,432.0,450.0,400.05,421.0,708,EQ,67.0,10.57,507.0
2026-04-30,422.05,422.05,390.2,399.85,717,EQ,63.0,11.38,553.0
2026-05-04,399.85,410.05,392.3,394.55,48,EQ,12.0,4.0,34.0
2026-05-05,415.0,419.4,396.3,400.75,29,EQ,8.0,3.62,28.0
2026-05-06,396.8,396.8,389.9,389.95,685,EQ,34.0,20.15,526.0
2026-05-07,389.9,396.9,382.3,393.45,104,EQ,6.0,17.33,102.0
2026-05-11,381.2,381.8,350.0,365.0,2257,EQ,48.0,47.02,1685.0
2026-05-12,365.0,365.0,365.0,365.0,17,EQ,2.0,8.5,17.0
2026-05-13,360.3,360.3,360.3,360.3,1,EQ,1.0,1.0,1.0
2026-05-15,361.0,361.0,360.3,360.3,31,EQ,3.0,10.33,31.0
2026-05-18,360.3,360.3,360.3,360.3,1,EQ,1.0,1.0,1.0
2026-05-19,363.0,363.0,350.0,355.0,59,EQ,9.0,6.56,58.0
2026-05-20,350.3,364.8,350.3,364.8,150,EQ,8.0,18.75,143.0
2026-05-21,364.7,368.9,364.7,367.9,82,EQ,5.0,16.4,82.0
2026-05-22,374.0,374.0,354.0,354.0,29,EQ,5.0,5.8,18.0
2026-05-25,358.2,379.9,350.15,357.8,215,EQ,21.0,10.24,159.0
2026-05-26,370.3,396.5,354.2,371.5,2043,EQ,93.0,21.97,751.0
2026-05-27,352.0,367.65,352.0,359.3,189,EQ,11.0,17.18,136.0
2026-05-29,379.9,379.9,353.3,354.05,195,EQ,32.0,6.09,152.0
2026-06-01,341.0,341.0,310.4,340.05,80,EQ,10.0,8.0,63.0
2026-06-02,340.05,340.05,330.4,340.0,832,EQ,11.0,75.64,832.0
2026-06-04,345.3,345.3,345.3,345.3,1,EQ,1.0,1.0,1.0
2026-06-05,365.0,365.0,342.6,344.95,197,EQ,11.0,17.91,185.0
2026-06-08,344.5,345.0,337.05,337.05,347,EQ,12.0,28.92,338.0
2026-06-09,338.3,338.3,337.0,337.0,188,EQ,5.0,37.6,188.0
2026-06-11,341.0,341.0,340.0,340.0,10,EQ,2.0,5.0,10.0
2026-06-12,340.0,340.0,340.0,340.0,112,EQ,4.0,28.0,112.0
2026-06-16,340.0,340.0,337.0,337.0,224,EQ,11.0,20.36,224.0
2026-06-18,340.3,342.2,335.3,336.2,24,EQ,7.0,3.43,24.0
2026-06-19,335.8,335.8,335.8,335.8,48,EQ,1.0,48.0,48.0
2026-06-22,336.0,350.0,333.3,340.0,3261,EQ,63.0,51.76,3058.0
2026-06-23,340.0,340.0,340.0,340.0,92,EQ,1.0,92.0,92.0
2026-06-25,341.2,341.2,340.0,340.05,100,EQ,4.0,25.0,100.0
2026-06-29,335.3,335.3,335.3,335.3,1,EQ,1.0,1.0,1.0
2026-06-30,335.0,335.05,335.0,335.05,25,EQ,3.0,8.33,25.0
2026-07-01,346.8,349.7,346.8,348.25,22,EQ,10,2.2,19
2026-07-02,348.2,390.0,348.2,374.6,198,EQ,15,13.2,195
2026-07-06,360.0,360.0,360.0,360.0,156,EQ,8,19.5,155
2026-07-07,360.0,360.0,360.0,360.0,9,EQ,2,4.5,9
2026-07-08,350.0,396.95,317.0,372.5,129,EQ,15,8.6,123
2026-07-09,374.5,376.25,369.0,370.0,264,EQ,9,29.33,253
2026-07-10,370.0,370.0,325.0,325.05,77,EQ,10,7.7,77
