Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,1400.0,1619.0,1125.7,1307.0,27,EQ,15.0,1.8,13.0
2026-08-18,1553.9,1553.9,1201.1,1264.8,290,EQ,69.0,4.2,168.0
2026-08-19,1299.8,1325.0,1216.3,1274.3,190,EQ,38.0,5.0,149.0
2026-08-20,1476.0,1476.0,1290.0,1294.7,1380,EQ,54.0,25.56,1101.0
2026-08-21,1528.9,1528.9,1331.0,1397.1,4535,EQ,402.0,11.28,2602.0
2026-08-24,1449.0,1488.0,1429.0,1441.2,1622,EQ,181.0,8.96,1107.0
2026-08-25,1499.9,1499.9,1410.8,1472.4,1334,EQ,147.0,9.07,980.0
2026-08-26,1499.9,1590.0,1450.0,1541.2,7651,EQ,649.0,11.79,5196.0
2026-08-27,1649.0,1649.0,1480.2,1496.6,1177,EQ,228.0,5.16,674.0
2026-08-28,1578.2,1578.2,1510.0,1527.8,936,EQ,151.0,6.2,589.0
2026-08-31,1553.9,1559.9,1520.0,1529.8,1197,EQ,117.0,10.23,787.0
2026-09-01,1565.0,1585.8,1496.1,1507.4,5388,EQ,509.0,10.59,4236.0
2026-09-02,1513.0,1532.9,1490.0,1518.2,524,EQ,75.0,6.99,332.0
2026-09-03,1568.3,1568.3,1512.4,1520.8,897,EQ,101.0,8.88,873.0
2026-09-04,1545.0,1568.8,1520.0,1533.3,586,EQ,110.0,5.33,366.0
2026-09-07,1539.0,1575.0,1500.0,1548.7,1034,EQ,106.0,9.75,735.0
2026-09-08,1575.0,1575.0,1548.0,1568.8,939,EQ,90.0,10.43,660.0
2026-09-09,1570.0,1582.5,1500.0,1518.6,1692,EQ,166.0,10.19,1430.0
2026-09-10,1565.0,1565.0,1530.0,1558.6,1275,EQ,92.0,13.86,850.0
2026-09-11,1558.6,1577.0,1449.8,1505.1,8418,EQ,619.0,13.6,4886.0
2026-09-15,1575.0,1575.0,1510.0,1543.4,2207,EQ,202.0,10.93,1779.0
2026-09-16,1570.0,1570.0,1500.0,1509.8,515,EQ,86,5.99,349
2026-09-17,1549.2,1549.2,1504.9,1534.0,32,EQ,12,2.67,26
2026-09-18,1541.2,1564.0,1499.9,1509.7,843,EQ,141,5.98,562
