Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,181.7,181.7,165.0,170.77,6698,EQ,93.0,72.02,6131.0
2026-08-18,178.4,180.0,167.1,176.78,22379,EQ,171.0,130.87,18582.0
2026-08-19,184.0,184.0,168.5,170.5,11764,EQ,295.0,39.88,7516.0
2026-08-20,174.9,174.9,162.0,167.66,32398,EQ,472.0,68.64,15445.0
2026-08-21,166.0,167.12,162.25,164.15,11334,EQ,363.0,31.22,7734.0
2026-08-24,160.0,167.38,151.2,154.24,78922,EQ,1634.0,48.3,41125.0
2026-08-25,159.0,159.0,152.97,156.14,19977,EQ,455.0,43.91,12412.0
2026-08-26,159.99,163.0,155.0,157.39,13190,EQ,469.0,28.12,8280.0
2026-08-27,163.9,163.9,156.45,156.86,5878,EQ,232.0,25.34,3435.0
2026-08-28,161.29,165.0,155.02,160.13,15733,EQ,468.0,33.62,9155.0
2026-08-31,163.0,163.0,158.33,159.43,10845,EQ,321.0,33.79,8351.0
2026-09-01,162.0,162.78,156.0,157.41,8922,EQ,267.0,33.42,6903.0
2026-09-02,162.0,167.99,159.99,164.96,46742,EQ,869.0,53.79,24254.0
2026-09-03,167.5,167.97,160.03,162.17,11052,EQ,454.0,24.34,7661.0
2026-09-04,160.0,167.89,160.0,163.82,26893,EQ,669.0,40.2,12854.0
2026-09-07,162.98,163.82,156.0,158.66,14611,EQ,483.0,30.25,10984.0
2026-09-08,162.99,162.99,156.75,159.13,8497,EQ,245.0,34.68,6705.0
2026-09-09,155.7,159.59,155.7,157.11,11358,EQ,279.0,40.71,8141.0
2026-09-10,160.95,160.95,158.01,158.62,5970,EQ,226.0,26.42,4792.0
2026-09-11,158.0,158.0,155.0,157.35,12462,EQ,328.0,37.99,8659.0
2026-09-15,157.04,157.04,148.8,151.6,7774,EQ,220.0,35.34,6778.0
2026-09-16,158.44,158.44,142.1,155.58,5582,EQ,273,20.45,3834
2026-09-17,161.88,161.88,155.01,159.63,12592,EQ,401,31.4,9017
2026-09-18,163.01,163.01,158.6,162.36,20632,EQ,250,82.53,19240
