Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,240.7,240.7,210.0,231.6,2713,EQ,48.0,56.52,2463.0
2026-08-18,238.0,260.0,231.0,255.13,3986,EQ,191.0,20.87,2656.0
2026-08-19,253.86,259.0,221.0,242.35,744,EQ,47.0,15.83,512.0
2026-08-20,245.01,258.97,245.01,251.23,1243,EQ,38.0,32.71,1056.0
2026-08-21,250.0,265.0,241.22,248.12,2928,EQ,142.0,20.62,2224.0
2026-08-24,248.12,270.0,242.5,259.52,2123,EQ,128.0,16.59,1165.0
2026-08-25,260.0,260.0,253.0,253.0,3019,EQ,30.0,100.63,2963.0
2026-08-26,254.0,265.0,253.28,257.49,2114,EQ,62.0,34.1,1776.0
2026-08-27,262.64,268.8,253.35,263.83,276,EQ,20.0,13.8,201.0
2026-08-28,253.36,267.67,240.0,260.78,1113,EQ,34.0,32.74,1008.0
2026-08-31,260.78,260.78,246.02,257.13,518,EQ,25.0,20.72,421.0
2026-09-01,255.0,260.0,255.0,260.0,3650,EQ,14.0,260.71,3650.0
2026-09-02,259.4,259.4,247.55,258.25,1199,EQ,40.0,29.98,805.0
2026-09-03,257.95,260.0,250.0,254.6,2736,EQ,47.0,58.21,2490.0
2026-09-04,254.6,260.55,252.1,254.8,20221,EQ,151.0,133.91,18439.0
2026-09-07,255.0,263.95,247.5,259.1,3231,EQ,80.0,40.39,3185.0
2026-09-08,255.9,265.0,250.05,259.25,357,EQ,19.0,18.79,257.0
2026-09-09,260.0,263.95,252.0,261.7,452,EQ,16.0,28.25,422.0
2026-09-10,252.05,261.0,249.0,255.75,788,EQ,38.0,20.74,598.0
2026-09-11,250.25,255.6,246.15,255.25,1377,EQ,28.0,49.18,1194.0
2026-09-15,247.0,252.0,245.0,248.5,1183,EQ,34.0,34.79,1161.0
2026-09-16,245.05,252.0,232.25,252.0,585,EQ,26,22.5,482
2026-09-17,252.0,252.0,245.0,245.0,472,EQ,22,21.45,452
2026-09-18,240.05,254.15,240.0,248.45,836,EQ,32,26.12,756
