Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-28,15.58,15.97,14.9,15.36,167039,EQ,930.0,179.61,119494.0
2026-07-29,15.43,15.87,15.05,15.41,87237,EQ,588.0,148.36,70578.0
2026-07-30,15.65,15.65,15.14,15.25,85321,EQ,623.0,136.95,55825.0
2026-07-31,15.25,15.55,15.2,15.23,71334,EQ,466.0,153.08,63359.0
2026-08-03,15.55,15.55,15.24,15.49,79261,EQ,515.0,153.9,64448.0
2026-08-04,15.69,15.69,15.3,15.5,127830,EQ,454.0,281.56,113618.0
2026-08-05,15.68,15.84,15.44,15.61,134268,EQ,399.0,336.51,109840.0
2026-08-06,16.27,16.27,15.43,15.51,412920,EQ,622.0,663.86,407090.0
2026-08-07,15.73,15.73,15.35,15.5,90996,EQ,456.0,199.55,81332.0
2026-08-10,15.57,15.7,15.32,15.53,54816,EQ,379.0,144.63,38631.0
2026-08-11,15.69,15.69,15.24,15.27,148267,EQ,993.0,149.31,131889.0
2026-08-12,15.42,15.55,15.12,15.2,113890,EQ,978.0,116.45,87569.0
2026-08-13,15.27,15.46,14.5,14.7,590801,EQ,1352.0,436.98,360588.0
2026-08-14,15.36,15.36,14.78,15.0,208476,EQ,906.0,230.11,82553.0
2026-08-17,15.07,15.29,14.79,15.09,91597,EQ,560.0,163.57,48494.0
2026-08-18,15.28,15.28,14.85,14.96,66472,EQ,470.0,141.43,59021.0
2026-08-19,15.1,15.1,14.76,14.89,92141,EQ,597.0,154.34,80129.0
2026-08-20,14.93,15.19,14.83,14.94,61089,EQ,376.0,162.47,40391.0
2026-08-21,15.18,15.18,14.79,14.88,47589,EQ,423.0,112.5,29508.0
2026-08-24,15.09,15.17,14.8,14.87,77359,EQ,500.0,154.72,56218.0
2026-08-25,15.08,15.08,14.65,14.84,170662,EQ,737.0,231.56,134702.0
2026-08-26,14.84,15.2,14.72,15.16,98524,EQ,306.0,321.97,66485.0
2026-08-27,15.16,15.18,14.91,14.97,62182,EQ,596.0,104.33,48807.0
2026-08-28,15.04,15.13,14.72,14.87,56947,EQ,562.0,101.33,44368.0
2026-08-31,14.87,14.99,14.61,14.73,313180,EQ,872.0,359.15,258744.0
2026-09-01,14.89,14.98,14.52,14.68,191871,EQ,748.0,256.51,106639.0
2026-09-02,15.04,15.04,14.4,14.53,118820,EQ,747.0,159.06,100113.0
2026-09-03,14.58,14.78,14.5,14.64,89812,EQ,417.0,215.38,70147.0
2026-09-04,14.79,14.79,14.52,14.66,63765,EQ,335.0,190.34,36942.0
2026-09-07,14.8,14.81,14.46,14.54,115933,EQ,605.0,191.62,80099.0
2026-09-08,14.61,14.78,14.33,14.38,325637,EQ,920.0,353.95,235686.0
2026-09-09,14.54,14.54,14.25,14.33,131074,EQ,542.0,241.83,81524.0
2026-09-10,14.32,14.49,14.17,14.34,41538,EQ,422.0,98.43,36527.0
2026-09-11,14.44,14.53,14.02,14.37,141005,EQ,614.0,229.65,72551.0
2026-09-15,14.37,14.48,13.88,13.95,351863,EQ,1349.0,260.83,337219.0
2026-09-16,14.0,14.08,13.73,13.85,171688,EQ,548,313.3,102768
2026-09-17,13.94,14.12,13.67,13.99,68805,EQ,295,233.24,57077
2026-09-18,14.09,14.3,14.01,14.22,45103,EQ,267,168.93,22521
