Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,31.9,31.9,30.0,30.16,3614,EQ,78.0,46.33,3144.0
2026-08-18,31.85,31.85,24.36,29.08,11548,EQ,317.0,36.43,7168.0
2026-08-19,31.63,31.63,30.05,30.5,10228,EQ,150.0,68.19,10004.0
2026-08-20,31.95,31.95,30.12,31.13,6062,EQ,62.0,97.77,4880.0
2026-08-21,30.35,31.65,30.21,30.24,10806,EQ,50.0,216.12,8650.0
2026-08-24,32.0,32.0,30.0,30.12,8461,EQ,78.0,108.47,6688.0
2026-08-25,31.0,31.6,30.01,30.06,6212,EQ,60.0,103.53,4873.0
2026-08-26,30.15,35.2,30.15,32.69,40133,EQ,272.0,147.55,26525.0
2026-08-27,32.8,33.12,31.52,31.63,13940,EQ,77.0,181.04,13275.0
2026-08-28,32.0,32.0,31.0,31.0,17757,EQ,64.0,277.45,17649.0
2026-08-31,30.8,32.0,28.16,29.41,20524,EQ,375.0,54.73,16993.0
2026-09-01,30.0,31.9,29.0,30.88,69410,EQ,186.0,373.17,66697.0
2026-09-02,31.9,32.75,31.0,31.8,18100,EQ,104.0,174.04,10621.0
2026-09-03,31.8,32.75,31.8,32.05,14389,EQ,51.0,282.14,13118.0
2026-09-04,32.1,32.67,31.41,32.48,14038,EQ,79.0,177.7,13384.0
2026-09-07,31.85,32.75,31.85,32.48,13840,EQ,97.0,142.68,12497.0
2026-09-08,31.56,32.75,31.5,32.21,6645,EQ,62.0,107.18,6284.0
2026-09-09,32.5,38.65,32.05,38.65,147540,EQ,1210.0,121.93,97079.0
2026-09-10,43.0,46.38,40.32,44.92,1072863,EQ,5946.0,180.43,407540.0
2026-09-11,42.66,49.41,42.0,49.3,493522,EQ,3141.0,157.12,286170.0
2026-09-15,50.0,52.8,47.05,47.41,171314,EQ,1303.0,131.48,97728.0
2026-09-16,47.0,47.49,43.15,46.0,66304,EQ,466,142.28,38324
2026-09-17,44.0,46.99,44.0,46.22,11128,BE,52,214.0,11128
2026-09-18,46.99,47.0,44.0,46.95,32553,BE,124,262.52,32553
