Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,160.0,160.0,127.0,152.0,534,EQ,29.0,18.41,501.0
2026-08-18,157.0,157.0,151.24,151.24,334,EQ,15.0,22.27,324.0
2026-08-19,151.24,151.24,136.62,140.73,508,EQ,28.0,18.14,375.0
2026-08-20,159.0,162.55,152.01,158.58,13494,EQ,586.0,23.03,6616.0
2026-08-21,163.7,163.7,150.1,156.93,3044,EQ,85.0,35.81,2711.0
2026-08-24,156.93,156.93,150.05,151.16,4533,EQ,100.0,45.33,4129.0
2026-08-25,152.69,152.69,147.52,148.8,2656,EQ,59.0,45.02,1843.0
2026-08-26,149.8,151.0,148.06,149.57,1875,EQ,49.0,38.27,1723.0
2026-08-27,150.5,150.5,146.93,148.15,2206,EQ,78.0,28.28,1590.0
2026-08-28,148.0,154.0,147.13,149.7,4564,EQ,48.0,95.08,3280.0
2026-08-31,160.0,160.0,148.05,149.82,3511,EQ,72.0,48.76,2414.0
2026-09-01,158.7,158.7,151.01,152.99,1989,EQ,75.0,26.52,1287.0
2026-09-02,150.01,152.98,148.0,148.93,1333,EQ,25.0,53.32,1302.0
2026-09-03,158.05,158.05,147.02,148.01,1518,EQ,48.0,31.62,949.0
2026-09-04,155.0,155.0,148.0,148.21,1852,EQ,41.0,45.17,1736.0
2026-09-07,148.2,152.0,144.0,147.27,1517,EQ,102.0,14.87,1223.0
2026-09-08,147.27,152.99,144.0,146.54,3883,EQ,126.0,30.82,2639.0
2026-09-09,146.54,151.99,144.02,144.84,645,EQ,41.0,15.73,478.0
2026-09-10,151.9,151.9,140.2,146.25,1871,EQ,48.0,38.98,1630.0
2026-09-11,150.99,150.99,144.1,145.83,1819,EQ,99.0,18.37,1123.0
2026-09-15,148.0,148.0,144.19,144.31,2089,EQ,52.0,40.17,2021.0
2026-09-16,148.7,148.7,141.6,144.11,1989,EQ,69,28.83,1303
2026-09-17,147.9,147.9,142.52,146.5,271,EQ,24,11.29,182
2026-09-18,147.0,152.0,144.0,149.8,2553,EQ,81,31.52,1708
