Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,86.87,88.5,85.55,86.63,1150,EQ,53.0,21.7,1037.0
2026-08-18,88.5,89.29,86.5,87.0,2039,EQ,59.0,34.56,1442.0
2026-08-19,85.0,88.7,84.82,85.25,5926,EQ,114.0,51.98,4814.0
2026-08-20,85.8,87.0,85.0,86.62,925,EQ,35.0,26.43,925.0
2026-08-21,87.1,87.35,80.0,84.34,7928,EQ,175.0,45.3,6729.0
2026-08-24,82.15,86.8,82.15,85.72,1322,EQ,68.0,19.44,1134.0
2026-08-25,85.72,86.28,84.0,84.84,2592,EQ,73.0,35.51,2415.0
2026-08-26,84.6,88.1,83.0,86.72,3299,EQ,66.0,49.98,2990.0
2026-08-27,87.5,87.5,83.1,83.98,5867,EQ,125.0,46.94,3541.0
2026-08-28,85.95,85.95,82.3,84.46,2359,EQ,88.0,26.81,2073.0
2026-08-31,86.4,86.4,82.5,83.23,3114,EQ,108.0,28.83,2908.0
2026-09-01,83.9,83.9,82.0,83.24,4029,EQ,174.0,23.16,3696.0
2026-09-02,83.24,83.85,80.24,81.52,3519,EQ,142.0,24.78,3139.0
2026-09-03,81.95,83.4,81.1,82.48,2775,EQ,66.0,42.05,2515.0
2026-09-04,82.0,83.2,80.05,82.16,5344,EQ,181.0,29.52,4594.0
2026-09-07,79.66,83.3,79.66,82.25,3553,EQ,131.0,27.12,3164.0
2026-09-08,81.35,85.2,81.35,83.52,3060,EQ,97.0,31.55,2426.0
2026-09-09,83.57,84.0,82.0,82.57,3345,EQ,97.0,34.48,3226.0
2026-09-10,83.4,86.8,81.5,85.52,4525,EQ,101.0,44.8,3803.0
2026-09-11,86.75,86.75,81.5,82.4,3233,EQ,148.0,21.84,1533.0
2026-09-15,82.1,84.0,79.8,80.23,5107,EQ,176.0,29.02,4033.0
2026-09-16,81.87,82.6,78.05,81.14,3017,EQ,151,19.98,2323
2026-09-17,81.5,82.8,79.0,82.7,1924,EQ,110,17.49,1572
2026-09-18,82.0,84.19,78.0,80.78,4816,EQ,176,27.36,1508
