Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-06,163.0,171.15,163.0,171.15,2372800,ST,1353,1753.73,2371200
2026-02-09,179.7,179.7,179.65,179.7,503200,ST,193,2607.25,442400
2026-02-10,188.65,188.65,188.6,188.65,252800,ST,203,1245.32,221600
2026-02-11,198.05,198.05,198.0,198.05,378400,ST,138,2742.03,301600
2026-02-12,207.95,207.95,207.9,207.95,344000,ST,187,1839.57,286400
2026-02-13,218.3,218.3,218.25,218.3,454400,ST,188,2417.02,374400
2026-02-16,229.2,229.2,229.15,229.2,207200,ST,164,1263.41,128800
2026-02-17,240.65,240.65,240.6,240.65,274400,ST,210,1306.67,201600
2026-02-18,252.65,252.65,252.6,252.65,200800,ST,165,1216.97,117600
2026-02-19,265.25,265.25,265.2,265.25,258400,ST,152,1700.0,192000
2026-02-20,238.75,238.75,238.75,238.75,10400,SM,12,866.67,10400
