Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-30,8.54,8.96,8.54,8.96,60,BE,9.0,6.67,60.0
2026-02-01,9.4,9.4,9.4,9.4,7,BE,4.0,1.75,7.0
2026-02-02,9.87,9.87,9.87,9.87,331,BE,7.0,47.29,331.0
2026-02-03,10.36,10.36,10.36,10.36,77,BE,7.0,11.0,77.0
2026-02-04,10.87,10.87,10.87,10.87,28,BE,6.0,4.67,28.0
2026-02-05,11.41,11.41,11.41,11.41,31,BE,2.0,15.5,31.0
2026-02-06,11.98,11.98,11.98,11.98,24,BE,6.0,4.0,24.0
2026-02-16,12.57,12.57,12.57,12.57,48,BE,5.0,9.6,48.0
2026-02-23,12.0,13.19,12.0,13.19,130,BE,10.0,13.0,130.0
2026-03-02,13.84,13.84,13.84,13.84,83,BE,7.0,11.86,83.0
2026-03-09,14.53,14.53,14.53,14.53,52,BE,4.0,13.0,52.0
2026-03-16,15.25,15.25,15.25,15.25,349,BE,1.0,349.0,349.0
2026-03-23,15.25,16.01,15.25,16.01,128,BE,9.0,14.22,128.0
2026-03-30,16.81,16.81,16.81,16.81,85,BE,6.0,14.17,85.0
2026-04-01,17.65,17.65,17.65,17.65,13,BE,3.0,4.33,13.0
2026-04-02,18.53,18.53,18.53,18.53,3,BE,2.0,1.5,3.0
2026-04-06,19.45,19.45,19.45,19.45,112,BE,2.0,56.0,112.0
2026-04-07,20.42,20.42,20.42,20.42,250,BE,19.0,13.16,250.0
2026-04-08,21.44,21.44,21.44,21.44,22,BE,5.0,4.4,22.0
2026-04-09,22.51,22.51,22.51,22.51,7,BE,3.0,2.33,7.0
2026-04-13,23.63,23.63,23.63,23.63,265,BE,5.0,53.0,265.0
2026-04-20,24.81,24.81,24.81,24.81,122,BE,3.0,40.67,122.0
2026-05-04,26.05,26.05,26.05,26.05,29,BE,5.0,5.8,29.0
2026-05-11,27.35,27.35,27.35,27.35,79,BE,3.0,26.33,79.0
2026-05-18,28.71,28.71,28.71,28.71,98,BE,7.0,14.0,98.0
2026-05-25,30.14,30.14,30.14,30.14,196,BE,9.0,21.78,196.0
2026-06-01,31.64,31.64,31.64,31.64,106,BE,3.0,35.33,106.0
2026-06-02,33.22,33.22,33.22,33.22,28,BE,3.0,9.33,28.0
2026-06-03,34.88,34.88,34.88,34.88,7,BE,3.0,2.33,7.0
2026-06-04,36.62,36.62,36.62,36.62,263,BE,5.0,52.6,263.0
2026-06-05,38.45,38.45,38.45,38.45,15,BE,2.0,7.5,15.0
2026-06-08,40.37,40.37,40.37,40.37,66,BE,3.0,22.0,66.0
2026-06-15,42.38,42.38,42.38,42.38,234,BE,6.0,39.0,234.0
2026-06-22,44.49,44.49,44.49,44.49,63,BE,7.0,9.0,63.0
2026-06-29,46.71,46.71,46.71,46.71,137,BE,7.0,19.57,137.0
2026-07-06,49.04,49.04,49.04,49.04,34,BE,5.0,6.8,34.0
2026-07-13,51.49,51.49,49.49,51.48,76905,BE,145.0,530.38,76905.0
2026-07-20,54.05,54.05,52.61,54.05,60610,BE,114.0,531.67,60610.0
2026-07-27,56.75,56.75,54.05,56.75,18298,BE,73.0,250.66,18298.0
2026-08-03,59.58,59.58,59.58,59.58,1840,BE,16.0,115.0,1840.0
2026-08-04,62.55,62.55,56.61,61.67,32226,BE,117.0,275.44,32226.0
2026-08-05,58.59,58.59,58.59,58.59,1659,BE,22.0,75.41,1659.0
2026-08-06,55.67,55.67,55.67,55.67,557,BE,8.0,69.62,557.0
2026-08-07,52.89,58.24,52.89,56.43,64493,BE,65.0,992.2,64493.0
2026-08-10,53.65,57.9,53.61,53.61,7172,BE,33.0,217.33,7172.0
2026-08-11,50.93,51.93,50.93,51.89,677,BE,9.0,75.22,677.0
2026-08-12,50.0,51.89,49.5,50.11,1016,BE,14.0,72.57,1016.0
2026-08-13,49.49,51.89,48.0,48.58,1917,BE,24.0,79.88,1917.0
2026-08-14,49.99,51.0,48.11,50.43,23324,BE,44.0,530.09,23324.0
2026-08-17,50.5,50.5,48.0,50.11,5384,BE,17.0,316.71,5384.0
2026-08-18,52.61,52.61,47.61,49.97,2862,BE,14.0,204.43,2862.0
2026-08-19,49.97,50.0,49.01,49.02,7439,BE,31.0,239.97,7439.0
2026-08-21,49.02,49.89,46.57,48.15,1829,BE,22.0,83.14,1829.0
2026-08-24,46.46,50.0,46.46,48.09,425,BE,13.0,32.69,425.0
2026-08-25,48.0,49.0,48.0,48.02,3025,BE,29.0,104.31,3025.0
2026-08-26,48.02,48.02,46.5,46.65,2143,BE,10.0,214.3,2143.0
2026-08-27,45.7,47.99,45.67,46.0,12695,BE,14.0,906.79,12695.0
2026-08-31,45.0,48.3,45.0,47.48,2507,BE,18.0,139.28,2507.0
2026-09-07,45.11,48.99,45.11,48.93,1882,BE,17.0,110.71,1882.0
2026-09-15,47.7,47.7,47.67,47.67,262,BE,5.0,52.4,262.0
