Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,314.3,414.0,314.3,351.1,574,EQ,28.0,20.5,478.0
2026-08-18,400.0,400.0,336.0,355.05,2017,EQ,43.0,46.91,1913.0
2026-08-19,354.0,355.0,342.1,344.05,1648,EQ,112.0,14.71,1578.0
2026-08-20,354.0,354.0,345.0,353.6,818,EQ,15.0,54.53,798.0
2026-08-21,318.0,420.0,318.0,353.95,13783,EQ,595.0,23.16,9921.0
2026-08-24,336.0,365.8,336.0,360.0,1566,EQ,68.0,23.03,1481.0
2026-08-25,360.0,360.0,349.1,351.5,763,EQ,42.0,18.17,731.0
2026-08-26,358.55,358.55,342.0,351.15,670,EQ,63.0,10.63,578.0
2026-08-27,362.0,362.0,345.5,348.05,301,EQ,28.0,10.75,220.0
2026-08-28,348.05,355.0,340.0,353.95,1520,EQ,39.0,38.97,1205.0
2026-08-31,353.95,353.95,353.7,353.7,12,EQ,3.0,4.0,12.0
2026-09-01,360.0,365.0,355.0,359.65,2287,EQ,77.0,29.7,1985.0
2026-09-02,359.5,366.0,354.0,354.0,561,EQ,18.0,31.17,561.0
2026-09-03,379.7,379.7,340.0,361.8,12987,EQ,334.0,38.88,9338.0
2026-09-04,368.7,379.95,353.0,371.8,2858,EQ,99.0,28.87,2152.0
2026-09-07,371.5,371.5,350.0,353.0,250,EQ,26.0,9.62,209.0
2026-09-08,353.0,370.0,345.0,369.0,1017,EQ,38.0,26.76,915.0
2026-09-09,361.05,368.0,355.0,364.65,1168,EQ,32.0,36.5,1011.0
2026-09-10,368.0,368.0,351.0,360.0,902,EQ,27.0,33.41,861.0
2026-09-11,363.0,363.0,361.0,362.0,885,EQ,17.0,52.06,782.0
2026-09-15,364.5,364.5,360.0,360.0,10,EQ,2.0,5.0,5.0
2026-09-16,360.0,364.85,350.0,360.4,894,EQ,31,28.84,835
2026-09-17,360.4,366.0,360.0,360.0,541,EQ,19,28.47,513
2026-09-18,360.0,369.9,360.0,365.0,714,EQ,9,79.33,713
