Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-01,68.1,72.25,62.3,66.8,4174258,EQ,121415.0,34.38,1261849.0
2026-07-02,68.0,73.5,68.0,73.5,1484942,EQ,27861.0,53.3,428003.0
2026-07-03,78.0,80.85,78.0,80.85,3220957,EQ,37496.0,85.9,558202.0
2026-07-06,79.3,81.95,73.7,76.6,2069250,EQ,50758.0,40.77,555288.0
2026-07-07,76.6,83.3,76.6,79.2,1610610,EQ,49638.0,32.45,283493.0
2026-07-08,78.35,84.9,77.75,82.15,1562217,EQ,44793.0,34.88,442456.0
2026-07-09,82.7,90.35,81.85,85.8,2222732,EQ,53207.0,41.78,340735.0
2026-07-10,87.0,88.45,83.65,86.2,1444566,EQ,43723.0,33.04,219253.0
2026-07-13,85.5,88.5,84.1,85.45,493372,EQ,16527.0,29.85,130486.0
2026-07-14,85.0,85.4,81.0,82.35,434765,EQ,14000.0,31.05,110541.0
2026-07-15,82.7,83.6,80.2,80.9,216302,EQ,7890.0,27.41,69389.0
2026-07-16,81.3,82.9,79.6,81.75,301718,EQ,9410.0,32.06,78361.0
2026-07-17,82.0,84.1,81.2,82.55,304022,EQ,10551.0,28.81,90381.0
2026-07-20,82.9,84.9,81.8,84.15,224730,EQ,7043.0,31.91,89640.0
2026-07-21,84.9,92.55,84.5,90.65,1565010,EQ,42869.0,36.51,303010.0
2026-07-22,90.4,92.4,88.6,91.25,672518,EQ,20619.0,32.62,134894.0
2026-07-23,89.0,89.0,82.15,82.65,716857,EQ,25070.0,28.59,229812.0
2026-07-24,82.3,82.5,80.1,80.65,262312,EQ,10465.0,25.07,75544.0
2026-07-27,82.05,84.05,81.2,82.05,182658,EQ,7785.0,23.46,50893.0
2026-07-28,82.05,82.2,80.0,80.4,81709,EQ,4442.0,18.39,34515.0
2026-07-29,80.4,81.8,79.7,80.6,109234,EQ,5421.0,20.15,37357.0
2026-07-30,79.9,80.5,78.4,78.7,109049,EQ,5772.0,18.89,47316.0
2026-07-31,78.5,82.6,78.2,82.1,299657,EQ,13448.0,22.28,63541.0
2026-08-03,83.0,83.2,80.1,80.65,128243,EQ,6490.0,19.76,49352.0
2026-08-04,80.9,83.7,80.65,81.95,111499,EQ,4903.0,22.74,40850.0
2026-08-05,82.6,83.7,81.65,83.1,130316,EQ,5878.0,22.17,51450.0
2026-08-06,84.1,86.2,83.8,84.65,215798,EQ,9244.0,23.34,86297.0
2026-08-07,84.65,84.9,82.05,84.1,132672,EQ,5410.0,24.52,51751.0
2026-08-10,84.0,85.85,83.05,84.1,133671,EQ,5456.0,24.5,72244.0
2026-08-11,84.5,87.75,81.0,83.4,359200,EQ,15676.0,22.91,127034.0
2026-08-12,83.4,83.75,81.85,82.55,82363,EQ,4033.0,20.42,40401.0
2026-08-13,83.3,85.6,82.7,84.1,197733,EQ,5624.0,35.16,99506.0
2026-08-14,84.5,84.6,83.3,83.8,45213,EQ,2615.0,17.29,17995.0
2026-08-17,83.8,85.8,80.95,82.3,1823530,EQ,18298.0,99.66,1278191.0
2026-08-18,82.35,83.4,82.05,83.0,73939,EQ,3527.0,20.96,37336.0
2026-08-19,83.4,84.0,82.5,82.5,1316682,EQ,8144.0,161.68,1039453.0
2026-08-20,82.05,90.8,82.05,90.8,700284,EQ,22224.0,31.51,320964.0
2026-08-21,92.9,98.8,92.9,97.85,2047573,EQ,58579.0,34.95,592969.0
2026-08-24,97.8,105.45,95.55,104.35,1204583,EQ,44037.0,27.35,323673.0
2026-08-25,102.0,107.5,100.95,104.45,4673297,EQ,21557.0,216.79,2280465.0
2026-08-26,104.1,109.65,104.1,109.5,2446946,EQ,11619.0,210.6,906327.0
2026-08-27,107.05,107.05,104.05,105.0,2571955,EQ,10201.0,252.13,1311000.0
2026-08-28,105.0,106.95,100.15,105.05,4082279,EQ,13138.0,310.72,2364836.0
2026-08-31,104.25,104.8,99.8,103.65,2331574,EQ,11475.0,203.19,1522916.0
2026-09-01,103.65,104.8,100.8,103.92,1301291,EQ,9004.0,144.52,831221.0
2026-09-02,103.8,103.8,100.8,101.89,1054722,EQ,6510.0,162.02,535197.0
2026-09-03,101.39,103.29,101.1,101.87,635189,EQ,4146.0,153.21,363349.0
2026-09-04,102.5,106.96,101.81,103.9,2698667,EQ,8937.0,301.97,779467.0
2026-09-07,103.9,109.09,102.01,109.08,3042994,EQ,12991.0,234.24,1894587.0
2026-09-08,110.0,110.49,104.25,106.72,2061326,EQ,13635.0,151.18,1052531.0
2026-09-09,106.62,108.77,103.73,104.25,1243173,EQ,10604.0,117.24,490661.0
2026-09-10,105.65,109.46,104.18,109.44,3659034,EQ,7573.0,483.17,2144215.0
2026-09-11,109.38,114.32,107.05,112.85,3486070,EQ,18032.0,193.33,1441043.0
2026-09-15,114.29,115.49,109.87,112.33,2990405,EQ,20443.0,146.28,1179102.0
2026-09-16,111.0,113.25,106.72,108.19,2468400,EQ,11553,213.66,1362932
2026-09-17,108.19,111.88,107.04,109.68,1309194,EQ,15398,85.02,748140
2026-09-18,109.68,115.16,109.68,115.15,2435983,EQ,10968,222.1,1636438
