Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-23,71.66,71.9,70.2,70.89,20176,EQ,398.0,50.69,12297.0
2026-07-24,68.06,70.92,68.0,69.84,15889,EQ,280.0,56.75,10139.0
2026-07-27,71.0,75.74,70.2,70.81,16526,EQ,377.0,43.84,6348.0
2026-07-28,70.31,71.49,70.15,70.67,15533,EQ,504.0,30.82,8186.0
2026-07-29,70.1,74.0,70.1,71.02,69527,EQ,962.0,72.27,32645.0
2026-07-30,71.0,72.84,69.63,72.46,71591,EQ,823.0,86.99,31282.0
2026-07-31,71.05,72.84,70.8,71.04,18606,EQ,439.0,42.38,11227.0
2026-08-03,71.5,72.45,70.2,70.49,29740,EQ,327.0,90.95,21646.0
2026-08-04,71.73,71.8,70.66,71.76,16305,EQ,354.0,46.06,8238.0
2026-08-05,71.21,73.1,71.21,72.88,89476,EQ,821.0,108.98,30384.0
2026-08-06,72.5,73.2,71.11,72.2,29541,EQ,735.0,40.19,15891.0
2026-08-07,72.89,72.99,71.0,71.3,15488,EQ,478.0,32.4,5103.0
2026-08-10,70.02,70.65,69.32,69.76,33309,EQ,611.0,54.52,18987.0
2026-08-11,69.9,74.0,69.85,70.0,42371,EQ,1227.0,34.53,19448.0
2026-08-12,70.0,70.4,68.4,69.86,24042,EQ,515.0,46.68,17760.0
2026-08-13,69.5,70.29,69.5,69.95,118924,EQ,448.0,265.46,16936.0
2026-08-14,69.95,70.65,68.0,68.36,146727,EQ,997.0,147.17,27607.0
2026-08-17,68.21,69.63,68.01,68.46,117404,EQ,1027.0,114.32,15329.0
2026-08-18,68.9,69.97,68.0,68.36,118794,EQ,593.0,200.33,8997.0
2026-08-19,68.0,69.74,66.69,68.06,153649,EQ,782.0,196.48,35251.0
2026-08-20,68.66,68.66,66.71,67.77,115207,EQ,569.0,202.47,8253.0
2026-08-21,68.0,68.0,66.51,66.82,128208,EQ,1017.0,126.06,14908.0
2026-08-24,67.1,67.39,63.52,64.99,167313,EQ,2019.0,82.87,29126.0
2026-08-25,65.3,67.67,64.5,67.21,145250,EQ,1155.0,125.76,17227.0
2026-08-26,67.89,67.89,65.55,66.08,131461,EQ,915.0,143.67,9873.0
2026-08-27,65.12,66.89,64.11,64.76,124293,EQ,1056.0,117.7,7358.0
2026-08-28,64.76,65.55,63.01,63.89,148670,EQ,1890.0,78.66,22869.0
2026-08-31,64.3,65.39,63.82,64.49,125766,EQ,1343.0,93.65,9155.0
2026-09-01,63.1,65.73,63.1,64.27,123324,EQ,1128.0,109.33,6506.0
2026-09-02,63.06,65.17,61.52,61.87,144900,EQ,950.0,152.53,26674.0
2026-09-03,62.17,63.99,62.0,62.4,118923,EQ,442.0,269.06,8141.0
2026-09-04,62.4,62.9,61.45,62.11,138710,EQ,975.0,142.27,18692.0
2026-09-07,62.6,63.49,62.1,62.28,117100,EQ,421.0,278.15,10630.0
2026-09-08,62.35,67.8,62.35,66.78,201784,EQ,2152.0,93.77,41024.0
2026-09-09,66.78,68.49,65.52,67.81,133934,EQ,711.0,188.37,16220.0
2026-09-10,67.5,67.81,65.24,66.38,138561,EQ,381.0,363.68,16914.0
2026-09-11,66.39,66.39,64.71,64.79,117444,EQ,319.0,368.16,9404.0
2026-09-15,65.78,65.78,62.5,62.83,22223,EQ,502.0,44.27,13729.0
2026-09-16,62.7,64.89,62.01,62.26,19954,EQ,371,53.78,11334
2026-09-17,63.73,66.47,63.13,65.39,118614,EQ,375,316.3,9124
2026-09-18,67.3,68.24,63.5,64.49,41073,EQ,588,69.85,10073
