Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,340.0,350.0,340.0,350.0,76,EQ,3.0,25.33,76.0
2026-08-18,347.9,347.9,346.8,347.9,59,EQ,21.0,2.81,59.0
2026-08-19,347.9,347.9,337.0,347.9,228,EQ,10.0,22.8,228.0
2026-08-20,349.0,355.5,341.25,355.25,217,EQ,15.0,14.47,181.0
2026-08-21,372.5,372.5,358.0,359.0,101,EQ,8.0,12.62,101.0
2026-08-24,359.0,359.0,335.0,337.1,131,EQ,8.0,16.38,130.0
2026-08-25,340.0,345.0,339.0,345.0,46,EQ,9.0,5.11,46.0
2026-08-26,330.0,360.0,300.0,334.95,1130,EQ,64.0,17.66,749.0
2026-08-27,330.0,335.0,328.3,332.6,76,EQ,15.0,5.07,57.0
2026-08-28,332.6,332.6,328.3,328.3,25,EQ,6.0,4.17,25.0
2026-08-31,328.3,328.3,311.0,321.1,310,EQ,20.0,15.5,288.0
2026-09-01,322.25,322.25,314.1,318.1,181,EQ,22.0,8.23,179.0
2026-09-02,339.0,339.0,339.0,339.0,1,EQ,1.0,1.0,1.0
2026-09-03,335.0,335.0,323.2,326.75,37,EQ,8.0,4.62,25.0
2026-09-04,326.75,339.9,314.95,329.5,1353,EQ,104.0,13.01,1158.0
2026-09-07,335.0,335.0,320.2,322.05,207,EQ,36.0,5.75,189.0
2026-09-08,337.95,339.9,315.0,317.35,1220,EQ,40.0,30.5,1133.0
2026-09-09,316.25,331.95,313.1,325.4,374,EQ,78.0,4.79,295.0
2026-09-10,313.35,324.9,313.0,318.3,1421,EQ,50.0,28.42,1341.0
2026-09-11,320.0,326.3,320.0,323.95,174,EQ,14.0,12.43,159.0
2026-09-15,335.2,335.2,316.3,319.5,231,EQ,69.0,3.35,192.0
2026-09-16,316.55,338.0,312.0,323.1,311,EQ,13,23.92,301
2026-09-17,334.95,339.9,315.0,337.25,2104,EQ,42,50.1,1561
2026-09-18,333.0,339.9,320.0,324.55,1798,EQ,47,38.26,1678
