Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,2.14,2.18,1.72,2.11,298436,EQ,428.0,697.28,236547.0
2026-08-18,2.14,2.19,2.01,2.15,408564,EQ,577.0,708.08,323163.0
2026-08-19,2.18,2.58,2.14,2.58,3004809,EQ,1746.0,1720.97,1623045.0
2026-08-20,2.79,3.09,2.7,3.09,8160299,EQ,5321.0,1533.6,4052132.0
2026-08-21,3.37,3.39,3.2,3.39,4265503,EQ,2092.0,2038.96,2366605.0
2026-08-24,3.51,3.56,3.06,3.06,2362969,EQ,2072.0,1140.43,1746443.0
2026-08-25,2.76,2.76,2.76,2.76,328890,EQ,662.0,496.81,328854.0
2026-08-26,2.63,2.63,2.63,2.63,180999,BE,381.0,475.06,180999.0
2026-08-27,2.58,2.58,2.5,2.5,665370,BE,651.0,1022.07,665370.0
2026-08-28,2.39,2.62,2.38,2.62,656843,BE,554.0,1185.64,656843.0
2026-08-31,2.74,2.75,2.62,2.75,457283,BE,428.0,1068.42,457283.0
2026-09-01,2.81,2.88,2.81,2.88,348057,BE,481.0,723.61,348057.0
2026-09-02,2.94,2.95,2.74,2.74,397232,BE,654.0,607.39,397232.0
2026-09-03,2.61,2.61,2.61,2.61,156785,BE,398.0,393.93,156785.0
2026-09-04,2.61,2.74,2.48,2.73,702306,BE,867.0,810.04,702306.0
2026-09-07,2.76,2.84,2.61,2.63,570828,BE,780.0,731.83,570828.0
2026-09-08,2.61,2.67,2.5,2.54,557743,BE,683.0,816.61,557743.0
2026-09-09,2.5,2.66,2.46,2.64,327296,BE,624.0,524.51,327296.0
2026-09-10,2.56,2.64,2.56,2.57,153783,BE,429.0,358.47,153783.0
2026-09-11,2.58,2.65,2.5,2.6,325910,BE,426.0,765.05,325910.0
2026-09-15,2.54,2.65,2.54,2.55,163187,BE,491.0,332.36,163187.0
2026-09-16,2.56,2.62,2.43,2.49,271930,BE,580,468.84,271930
2026-09-17,2.54,2.58,2.41,2.47,159538,BE,539,295.99,159538
2026-09-18,2.52,2.52,2.41,2.44,184630,BE,487,379.12,184630
