Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-02,113.0,113.0,107.35,107.35,517052,BE,4253.0,121.57,517052.0
2026-07-03,101.99,101.99,101.99,101.99,99490,BE,2173.0,45.78,99490.0
2026-07-06,107.0,107.08,97.55,107.08,455798,BE,3729.0,122.23,455798.0
2026-07-07,111.3,111.3,103.65,105.72,355929,BE,1744.0,204.09,355929.0
2026-07-08,102.0,103.61,100.44,100.46,238399,BE,2100.0,113.52,238399.0
2026-07-09,102.0,102.0,95.55,99.17,250081,BE,2402.0,104.11,250081.0
2026-07-10,100.9,101.0,97.0,100.31,544391,BE,1092.0,498.53,544391.0
2026-07-13,100.31,100.31,95.6,99.4,184628,BE,1338.0,137.99,184628.0
2026-07-14,98.0,99.4,97.02,97.54,528079,BE,1402.0,376.66,528079.0
2026-07-15,99.9,102.41,97.25,101.1,313033,BE,1483.0,211.08,313033.0
2026-07-16,100.91,109.8,100.9,106.24,646568,EQ,7748.0,83.45,263957.0
2026-07-17,105.3,108.26,102.8,103.92,480585,EQ,3508.0,137.0,270683.0
2026-07-20,102.8,103.92,98.76,99.33,644722,EQ,3566.0,180.8,290455.0
2026-07-21,99.01,105.65,98.98,102.6,375404,EQ,5730.0,65.52,97253.0
2026-07-22,103.7,103.71,96.5,98.11,334746,EQ,2897.0,115.55,154811.0
2026-07-23,98.49,98.9,95.65,96.99,305284,EQ,3677.0,83.03,185888.0
2026-07-24,97.22,102.0,95.1,99.62,490228,EQ,3472.0,141.19,301470.0
2026-07-27,99.62,100.5,99.0,99.54,178019,EQ,1387.0,128.35,135403.0
2026-07-28,99.5,105.95,99.0,100.6,354740,EQ,4923.0,72.06,175345.0
2026-07-29,100.0,101.88,94.27,96.14,713856,EQ,4928.0,144.86,430410.0
2026-07-30,98.99,101.61,95.17,100.2,764907,EQ,5053.0,151.38,343381.0
2026-07-31,98.02,108.0,98.02,104.78,1167576,EQ,11163.0,104.59,651979.0
2026-08-03,102.52,108.2,101.1,104.88,1147334,EQ,9290.0,123.5,370906.0
2026-08-04,104.77,104.77,99.31,100.38,173715,EQ,2311.0,75.17,104222.0
2026-08-05,101.99,102.0,100.09,100.94,134754,EQ,1852.0,72.76,95367.0
2026-08-06,100.94,105.1,99.02,102.58,794440,EQ,5612.0,141.56,371331.0
2026-08-07,102.58,103.64,101.0,102.12,238195,EQ,2196.0,108.47,175834.0
2026-08-10,101.41,106.5,100.25,105.5,680461,EQ,4886.0,139.27,372021.0
2026-08-11,105.24,105.5,101.55,102.72,274370,EQ,2361.0,116.21,186893.0
2026-08-12,101.84,102.88,101.11,101.79,149206,EQ,1190.0,125.38,100649.0
2026-08-13,101.24,102.68,99.18,100.2,114008,EQ,1469.0,77.61,50386.0
2026-08-14,100.94,102.48,100.0,100.71,219390,EQ,1365.0,160.73,169824.0
2026-08-17,98.71,101.09,96.0,100.37,144197,EQ,2171.0,66.42,72363.0
2026-08-18,100.88,100.89,99.66,100.19,75667,EQ,1295.0,58.43,47254.0
2026-08-19,102.0,102.0,96.11,99.25,516095,EQ,2875.0,179.51,300016.0
2026-08-20,99.25,100.0,97.32,99.37,285697,EQ,1778.0,160.68,178124.0
2026-08-21,99.37,100.0,98.81,99.55,259489,EQ,1276.0,203.36,217470.0
2026-08-24,99.55,99.87,97.3,98.59,365203,EQ,1562.0,233.8,197700.0
2026-08-25,98.0,98.5,97.25,97.56,58968,EQ,1119.0,52.7,29933.0
2026-08-26,97.24,98.79,96.11,96.85,305370,EQ,1313.0,232.57,273719.0
2026-08-27,96.85,97.6,96.21,97.14,96576,EQ,1011.0,95.53,64019.0
2026-08-28,97.2,98.0,96.61,97.4,40209,EQ,808.0,49.76,16950.0
2026-08-31,97.4,98.47,95.71,96.79,71259,EQ,1102.0,64.66,32689.0
2026-09-01,96.35,96.79,93.21,94.49,121136,EQ,1926.0,62.9,64927.0
2026-09-02,94.49,96.3,93.12,95.94,130639,EQ,1402.0,93.18,48175.0
2026-09-03,96.0,96.42,93.2,94.0,52817,EQ,936.0,56.43,29083.0
2026-09-04,93.99,94.78,93.4,94.36,80421,EQ,727.0,110.62,58684.0
2026-09-07,94.0,95.0,92.67,93.57,104718,EQ,1451.0,72.17,60138.0
2026-09-08,95.0,95.24,93.0,94.13,51809,EQ,878.0,59.01,22882.0
2026-09-09,94.95,94.95,92.8,93.31,46723,EQ,1070.0,43.67,21209.0
2026-09-10,92.85,97.64,92.28,94.96,892772,EQ,2547.0,350.52,360928.0
2026-09-11,101.15,101.15,76.26,83.44,2772772,EQ,19621.0,141.32,564950.0
2026-09-15,83.44,95.0,81.59,89.85,1303153,EQ,16566.0,78.66,233451.0
2026-09-16,91.99,103.45,88.68,96.22,6076531,EQ,45097,134.74,630354
2026-09-17,98.9,103.9,96.32,102.64,1734949,EQ,21838,79.45,422569
2026-09-18,104.0,114.9,101.5,109.85,9116969,EQ,65166,139.9,926756
