Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-17,49.5,52.21,49.5,52.21,77108,BE,238,323.98,77108
2026-02-18,54.82,54.82,54.82,54.82,9111,BE,107,85.15,9111
2026-02-19,57.56,57.56,57.56,57.56,12336,BE,111,111.14,12336
2026-02-20,60.43,60.43,60.43,60.43,17178,BE,111,154.76,17178
2026-02-23,63.45,63.45,57.41,63.45,291987,BE,785,371.96,291987
2026-02-24,63.45,66.45,60.28,60.28,123755,BE,676,183.07,123755
2026-02-25,58.15,59.9,57.27,57.76,135934,BE,481,282.61,135934
2026-02-26,56.59,60.64,55.21,60.64,115502,BE,405,285.19,115502
2026-02-27,63.67,63.67,63.67,63.67,56646,BE,172,329.34,56646
2026-03-02,66.7,66.85,61.99,66.85,126094,BE,529,238.36,126094
2026-03-04,65.0,77.84,65.0,67.88,443113,EQ,3505,126.42,216113
2026-03-05,68.69,68.69,63.24,64.52,100654,EQ,1316,76.48,58549
2026-03-06,64.52,66.08,60.5,61.27,139127,EQ,1460,95.29,78497
2026-03-09,56.0,59.99,52.0,52.98,186016,EQ,1723,107.96,110770
2026-03-10,53.01,62.6,53.01,61.02,157565,EQ,1987,79.3,89347
2026-03-11,61.94,64.8,60.87,63.31,144763,EQ,2143,67.55,66110
2026-03-12,63.46,75.97,60.42,68.83,753191,EQ,8590,87.68,173135
2026-03-13,67.71,71.39,60.0,62.9,198334,EQ,1978,100.27,107309
