Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,35.44,36.05,35.44,36.01,42923,EQ,29.0,1480.1,42923.0
2026-08-18,37.9,37.9,34.5,36.96,10406,EQ,67.0,155.31,9045.0
2026-08-19,36.95,38.3,35.62,37.9,31899,EQ,318.0,100.31,28104.0
2026-08-20,38.66,38.9,35.11,37.18,10108,EQ,133.0,76.0,9092.0
2026-08-21,37.18,37.2,36.1,36.64,3278,EQ,94.0,34.87,2760.0
2026-08-24,36.5,39.98,36.5,37.18,5332,EQ,115.0,46.37,4211.0
2026-08-25,37.0,37.0,35.9,36.08,8927,EQ,96.0,92.99,8692.0
2026-08-26,36.08,38.93,36.0,38.01,9332,EQ,82.0,113.8,7643.0
2026-08-27,37.9,37.9,36.65,37.44,4111,EQ,65.0,63.25,4058.0
2026-08-28,37.24,37.25,36.06,36.95,3406,EQ,44.0,77.41,2848.0
2026-08-31,36.21,37.59,35.2,36.39,6374,EQ,65.0,98.06,6101.0
2026-09-01,36.0,37.8,35.66,36.1,5304,EQ,72.0,73.67,3807.0
2026-09-02,36.1,36.1,34.2,35.24,5874,EQ,58.0,101.28,5417.0
2026-09-03,36.0,37.6,35.22,36.0,2319,EQ,58.0,39.98,1623.0
2026-09-04,36.8,36.8,34.21,35.0,23168,EQ,193.0,120.04,19386.0
2026-09-07,34.6,35.7,34.6,35.57,14659,EQ,95.0,154.31,12743.0
2026-09-08,35.57,36.35,34.76,35.56,9972,EQ,147.0,67.84,6567.0
2026-09-09,36.72,38.0,35.6,36.89,25981,EQ,299.0,86.89,21593.0
2026-09-10,37.0,42.9,36.96,40.98,209619,EQ,1165.0,179.93,87253.0
2026-09-11,41.38,49.17,40.11,46.08,446458,EQ,3575.0,124.88,143042.0
2026-09-15,47.0,47.77,42.67,45.13,112049,EQ,1211.0,92.53,59952.0
2026-09-16,46.59,47.0,42.0,43.47,33346,EQ,489,68.19,15944
2026-09-17,44.0,49.0,44.0,47.23,56971,EQ,779,73.13,27187
2026-09-18,49.0,49.0,46.11,46.72,24429,EQ,452,54.05,18136
