Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-19,68.66,69.4,67.02,67.26,22313,EQ,209,106.76,21905
2026-02-20,67.98,68.67,67.23,67.72,59776,EQ,193,309.72,48156
2026-02-23,68.11,68.36,67.1,67.55,2943407,EQ,679,4334.91,2935501
2026-02-24,67.55,67.97,66.34,67.0,97171,EQ,361,269.17,79063
2026-02-25,67.4,67.7,67.09,67.49,73339,EQ,107,685.41,70204
2026-02-26,67.64,68.37,67.58,68.36,146919,EQ,104,1412.68,143889
2026-02-27,68.56,68.56,67.26,67.51,87121,EQ,234,372.31,77617
2026-03-02,67.98,68.5,66.62,67.43,213467,EQ,644,331.47,161252
2026-03-04,68.78,68.78,66.4,66.77,231598,EQ,489,473.62,209633
2026-03-05,67.32,69.14,67.2,68.3,122549,EQ,388,315.85,93077
2026-03-06,69.03,72.0,68.36,69.86,462398,EQ,943,490.35,399871
2026-03-09,71.6,71.95,67.2,68.34,257122,EQ,1632,157.55,213141
2026-03-10,69.46,69.46,68.0,69.17,195443,EQ,554,352.79,170634
2026-03-11,70.89,71.1,67.66,67.88,247019,EQ,629,392.72,221136
2026-03-12,68.21,68.27,66.54,67.42,149610,EQ,480,311.69,120346
2026-03-13,68.2,68.2,64.9,65.0,205626,EQ,971,211.77,171616
