Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,554.8,554.8,485.0,504.35,15994,EQ,407.0,39.3,12211.0
2026-08-18,509.0,586.9,499.2,558.05,122906,EQ,3792.0,32.41,51071.0
2026-08-19,566.9,593.0,558.05,587.0,62401,EQ,2950.0,21.15,30065.0
2026-08-20,600.0,600.0,548.0,555.25,59063,EQ,2193.0,26.93,34785.0
2026-08-21,559.95,584.0,552.0,576.7,34990,EQ,1409.0,24.83,20237.0
2026-08-24,576.9,603.0,552.0,580.3,19552,BE,315.0,62.07,19552.0
2026-08-25,569.95,584.0,555.0,563.85,15783,BE,212.0,74.45,15783.0
2026-08-26,563.85,563.85,535.7,548.95,12874,BE,346.0,37.21,12874.0
2026-08-27,535.15,547.0,527.0,536.9,11208,BE,223.0,50.26,11208.0
2026-08-28,536.9,555.55,520.0,552.2,11244,BE,284.0,39.59,11244.0
2026-08-31,557.95,557.95,540.0,548.05,6687,BE,115.0,58.15,6687.0
2026-09-01,547.0,547.0,522.0,529.8,6566,BE,204.0,32.19,6566.0
2026-09-02,516.05,539.0,505.0,506.5,23368,BE,275.0,84.97,23368.0
2026-09-03,510.0,522.0,505.0,513.3,5261,BE,134.0,39.26,5261.0
2026-09-04,515.85,528.9,501.0,503.45,8802,BE,178.0,49.45,8802.0
2026-09-07,503.45,505.0,490.0,496.05,8513,BE,169.0,50.37,8513.0
2026-09-08,504.0,518.35,485.0,515.85,6148,BE,127.0,48.41,6148.0
2026-09-09,513.9,523.0,505.1,517.25,7900,BE,187.0,42.25,7900.0
2026-09-10,522.4,522.4,506.0,512.65,5139,BE,155.0,33.15,5139.0
2026-09-11,510.0,517.5,501.0,503.1,2772,BE,94.0,29.49,2772.0
2026-09-15,512.0,518.4,494.0,503.7,5242,BE,132.0,39.71,5242.0
2026-09-16,498.0,510.0,478.55,482.45,3211,BE,134,23.96,3211
2026-09-17,472.0,484.9,462.05,467.3,9207,BE,191,48.2,9207
2026-09-18,470.0,490.65,460.0,488.75,6986,BE,152,45.96,6986
