Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,3.67,4.39,3.67,4.26,95719,EQ,180.0,531.77,61782.0
2026-08-18,5.02,5.02,4.33,4.58,104322,EQ,348.0,299.78,73561.0
2026-08-19,4.58,4.75,4.23,4.37,73072,EQ,383.0,190.79,64149.0
2026-08-20,4.5,4.71,3.85,4.6,72001,EQ,215.0,334.89,57116.0
2026-08-21,4.71,4.71,4.15,4.52,11677,EQ,104.0,112.28,7653.0
2026-08-24,4.43,4.52,4.4,4.41,19385,EQ,129.0,150.27,17371.0
2026-08-25,4.27,4.39,4.16,4.27,25881,EQ,168.0,154.05,21586.0
2026-08-26,4.27,4.48,4.21,4.29,19573,EQ,137.0,142.87,15984.0
2026-08-27,4.23,4.56,4.21,4.32,12036,EQ,126.0,95.52,8793.0
2026-08-28,4.42,4.42,4.15,4.24,19182,EQ,117.0,163.95,14263.0
2026-08-31,4.04,4.56,4.04,4.26,52549,EQ,188.0,279.52,40832.0
2026-09-01,4.26,4.52,4.17,4.35,20130,EQ,159.0,126.6,17102.0
2026-09-02,4.45,4.45,4.2,4.32,16175,EQ,132.0,122.54,14133.0
2026-09-03,4.38,4.57,4.2,4.35,30291,EQ,134.0,226.05,20177.0
2026-09-04,4.33,4.59,4.21,4.33,17330,EQ,109.0,158.99,12135.0
2026-09-07,4.35,5.17,4.21,4.57,122265,EQ,356.0,343.44,66529.0
2026-09-08,4.98,4.98,4.32,4.69,77720,EQ,307.0,253.16,41683.0
2026-09-09,4.77,5.09,4.25,4.46,219304,EQ,518.0,423.37,144465.0
2026-09-10,4.28,4.7,3.8,4.14,101237,EQ,235.0,430.8,78056.0
2026-09-11,4.24,4.4,4.2,4.31,25752,EQ,221.0,116.52,20208.0
2026-09-15,4.4,4.4,4.07,4.29,12333,EQ,147.0,83.9,10810.0
2026-09-16,4.4,4.4,4.06,4.11,31101,EQ,172,180.82,22308
2026-09-17,4.21,4.3,4.01,4.12,26732,EQ,184,145.28,22253
2026-09-18,4.4,4.4,4.08,4.18,31872,EQ,173,184.23,23915
