Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-03,8.6,9.03,8.6,9.03,59,BE,3.0,19.67,59.0
2026-08-04,9.48,9.48,9.48,9.48,22,BE,2.0,11.0,22.0
2026-08-05,9.95,9.95,9.95,9.95,46,BE,2.0,23.0,46.0
2026-08-06,10.44,10.44,10.44,10.44,4,BE,2.0,2.0,4.0
2026-08-07,10.96,10.96,10.96,10.96,561,BE,5.0,112.2,561.0
2026-08-10,11.5,11.5,11.5,11.5,347,BE,5.0,69.4,347.0
2026-08-11,12.07,12.07,12.07,12.07,304,BE,2.0,152.0,304.0
2026-08-13,12.67,12.67,12.67,12.67,19,BE,2.0,9.5,19.0
2026-08-14,13.3,13.3,13.3,13.3,98,BE,3.0,32.67,98.0
2026-08-17,13.96,13.96,13.96,13.96,37,BE,1.0,37.0,37.0
2026-08-18,14.65,14.65,14.65,14.65,1777,BE,9.0,197.44,1777.0
2026-08-19,15.38,15.38,15.38,15.38,321,BE,2.0,160.5,321.0
2026-08-21,16.14,16.14,16.14,16.14,254,BE,1.0,254.0,254.0
2026-08-24,16.94,16.94,16.94,16.94,30,BE,1.0,30.0,30.0
2026-08-25,17.27,17.27,17.27,17.27,1,BE,1.0,1.0,1.0
2026-08-26,17.61,17.61,17.61,17.61,353,BE,3.0,117.67,353.0
2026-08-27,17.96,17.96,17.96,17.96,122,BE,1.0,122.0,122.0
2026-08-28,18.31,18.31,18.31,18.31,39,BE,2.0,19.5,39.0
2026-09-01,18.67,18.67,18.67,18.67,323,BE,2.0,161.5,323.0
2026-09-02,19.04,19.04,19.04,19.04,4,BE,1.0,4.0,4.0
2026-09-03,19.42,19.42,19.42,19.42,177,BE,4.0,44.25,177.0
2026-09-07,19.8,19.8,19.8,19.8,555,BE,16.0,34.69,555.0
2026-09-08,20.19,20.19,20.19,20.19,1,BE,1.0,1.0,1.0
2026-09-10,20.59,20.59,20.59,20.59,18,BE,1.0,18.0,18.0
2026-09-11,21.0,21.0,21.0,21.0,52,BE,2.0,26.0,52.0
2026-09-15,21.42,21.42,21.42,21.42,38,BE,2.0,19.0,38.0
2026-09-16,21.84,21.84,21.84,21.84,119,BE,4,29.75,119
2026-09-17,22.27,22.27,22.27,22.27,1257,BE,6,209.5,1257
2026-09-18,22.71,22.71,22.71,22.71,161,BE,5,32.2,161
