Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,2.41,2.52,2.32,2.45,11344,EQ,49.0,231.51,10314.0
2026-08-18,2.5,2.5,2.31,2.32,11822,EQ,70.0,168.89,11146.0
2026-08-19,2.38,2.45,2.23,2.38,29043,EQ,118.0,246.13,23334.0
2026-08-20,2.42,2.45,2.3,2.43,45169,EQ,108.0,418.23,41340.0
2026-08-21,2.5,2.5,2.35,2.39,20860,EQ,100.0,208.6,17698.0
2026-08-24,2.46,2.48,2.4,2.44,30760,EQ,88.0,349.55,27820.0
2026-08-25,2.59,2.59,2.2,2.48,73039,EQ,147.0,496.86,63997.0
2026-08-26,2.54,2.68,2.35,2.5,118409,EQ,155.0,763.93,79422.0
2026-08-27,2.55,2.65,2.44,2.49,18976,EQ,104.0,182.46,15488.0
2026-08-28,2.46,2.57,2.44,2.49,17311,EQ,93.0,186.14,13699.0
2026-08-31,2.51,2.59,2.48,2.51,55441,EQ,88.0,630.01,50903.0
2026-09-01,2.58,2.6,2.31,2.4,84010,EQ,130.0,646.23,54914.0
2026-09-02,2.42,2.48,2.36,2.45,26674,EQ,70.0,381.06,17175.0
2026-09-03,2.42,2.47,2.31,2.34,67138,EQ,160.0,419.61,51679.0
2026-09-04,2.3,2.4,2.28,2.36,61727,EQ,167.0,369.62,47970.0
2026-09-07,2.33,2.4,2.31,2.36,35817,EQ,104.0,344.39,26919.0
2026-09-08,2.31,2.4,2.28,2.36,43991,EQ,122.0,360.58,31458.0
2026-09-09,2.36,2.36,2.26,2.3,31476,EQ,94.0,334.85,30868.0
2026-09-10,2.3,2.36,2.28,2.34,16616,EQ,100.0,166.16,10305.0
2026-09-11,2.36,2.38,2.29,2.36,26955,EQ,126.0,213.93,21011.0
2026-09-15,2.38,2.38,2.3,2.3,21580,EQ,115.0,187.65,12841.0
2026-09-16,2.3,2.33,2.27,2.33,10315,EQ,48,214.9,9004
2026-09-17,2.35,2.35,2.1,2.21,156787,EQ,202,776.17,107811
2026-09-18,2.23,2.27,2.1,2.25,56253,EQ,174,323.29,41762
