Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,17.4,17.4,16.14,16.25,32196,EQ,166.0,193.95,24081.0
2026-08-18,17.06,17.06,16.03,17.06,229126,EQ,386.0,593.59,185482.0
2026-08-19,17.8,17.91,17.7,17.91,35195,EQ,79.0,445.51,32709.0
2026-08-20,18.8,18.8,18.8,18.8,1568,EQ,11.0,142.55,1568.0
2026-08-21,19.74,19.74,19.74,19.74,6026,EQ,23.0,262.0,6026.0
2026-08-24,20.72,20.72,20.72,20.72,7720,EQ,28.0,275.71,7720.0
2026-08-25,21.75,21.75,21.75,21.75,16226,EQ,29.0,559.52,16226.0
2026-08-26,22.83,22.83,20.67,21.37,483561,EQ,2608.0,185.41,248122.0
2026-08-27,21.9,22.18,20.57,21.5,75019,EQ,306.0,245.16,45314.0
2026-08-28,22.39,22.39,20.98,21.69,108719,EQ,302.0,360.0,96679.0
2026-08-31,21.99,22.09,20.65,21.0,151139,EQ,332.0,455.24,125938.0
2026-09-01,21.21,21.21,19.95,19.99,180580,EQ,415.0,435.13,104343.0
2026-09-02,19.06,20.5,19.06,20.03,79184,EQ,218.0,363.23,67900.0
2026-09-03,20.03,20.45,19.4,19.84,20898,BE,65.0,321.51,20898.0
2026-09-04,20.24,20.48,19.5,20.28,20412,BE,75.0,272.16,20412.0
2026-09-07,20.48,20.8,19.3,20.49,29032,BE,98.0,296.24,29032.0
2026-09-08,20.3,20.3,19.52,19.77,16460,BE,93.0,176.99,16460.0
2026-09-09,20.05,20.4,19.51,19.81,21547,BE,78.0,276.24,21547.0
2026-09-10,19.82,20.63,19.55,19.63,20521,BE,71.0,289.03,20521.0
2026-09-11,19.4,20.23,19.4,19.99,4484,BE,62.0,72.32,4484.0
2026-09-15,19.99,20.39,19.0,19.3,15398,BE,100.0,153.98,15398.0
2026-09-16,20.0,20.0,18.8,19.39,26923,BE,120,224.36,26923
2026-09-17,19.0,19.94,18.6,19.24,17117,BE,77,222.3,17117
2026-09-18,19.24,19.3,18.66,19.03,5798,BE,64,90.59,5798
