Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,494.9,494.9,460.0,479.0,4310,EQ,252.0,17.1,3572.0
2026-08-18,493.55,493.6,460.0,467.75,5959,EQ,546.0,10.91,4873.0
2026-08-19,470.0,478.0,454.0,458.75,9480,EQ,917.0,10.34,6002.0
2026-08-20,469.9,473.8,460.0,461.25,6674,EQ,552.0,12.09,4171.0
2026-08-21,470.45,470.45,443.75,454.75,15259,EQ,948.0,16.1,9172.0
2026-08-24,459.9,466.95,450.0,459.0,9623,EQ,718.0,13.4,6547.0
2026-08-25,464.95,469.9,447.3,450.25,14000,EQ,835.0,16.77,9071.0
2026-08-26,459.9,464.0,449.3,456.95,8130,EQ,432.0,18.82,5798.0
2026-08-27,455.5,465.0,452.4,459.95,8284,EQ,599.0,13.83,4584.0
2026-08-28,457.7,470.0,451.5,467.65,9337,EQ,607.0,15.38,6360.0
2026-08-31,467.65,477.05,455.0,471.95,13571,EQ,1098.0,12.36,7916.0
2026-09-01,470.0,475.9,460.3,464.5,8887,EQ,688.0,12.92,5322.0
2026-09-02,459.8,468.7,451.05,454.45,13107,EQ,755.0,17.36,8317.0
2026-09-03,468.2,468.2,453.1,456.1,5421,EQ,563.0,9.63,3424.0
2026-09-04,462.0,468.95,455.85,459.35,10145,EQ,655.0,15.49,8157.0
2026-09-07,458.0,475.0,454.6,456.0,7709,EQ,627.0,12.3,4963.0
2026-09-08,451.05,464.65,446.05,450.4,10266,EQ,796.0,12.9,7359.0
2026-09-09,450.4,457.5,441.25,444.45,10030,EQ,1087.0,9.23,5376.0
2026-09-10,444.45,452.9,435.0,437.25,14410,EQ,911.0,15.82,10722.0
2026-09-11,440.0,441.0,423.05,435.5,8801,EQ,855.0,10.29,5453.0
2026-09-15,444.0,444.0,424.0,427.4,6437,EQ,747.0,8.62,4535.0
2026-09-16,427.4,429.85,415.1,425.1,11414,EQ,922,12.38,7065
2026-09-17,425.0,441.95,424.8,435.85,5030,EQ,451,11.15,3300
2026-09-18,442.8,445.95,424.0,432.1,8812,EQ,796,11.07,5140
