Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,81.0,82.0,74.6,80.84,1389,EQ,119.0,11.67,925.0
2026-08-18,80.84,80.88,79.01,79.58,5934,EQ,286.0,20.75,5393.0
2026-08-19,79.58,82.5,78.35,79.82,18144,EQ,435.0,41.71,11098.0
2026-08-20,82.49,82.5,78.0,78.19,11068,EQ,340.0,32.55,9464.0
2026-08-21,81.99,81.99,77.99,78.07,9420,EQ,342.0,27.54,8885.0
2026-08-24,78.99,81.0,75.05,76.41,20490,EQ,541.0,37.87,14152.0
2026-08-25,76.41,78.44,75.05,75.92,7055,EQ,295.0,23.92,4925.0
2026-08-26,77.99,77.99,75.5,76.52,4597,EQ,155.0,29.66,2700.0
2026-08-27,77.0,78.0,76.01,77.24,7579,EQ,275.0,27.56,5268.0
2026-08-28,74.75,77.98,73.0,74.21,23089,EQ,460.0,50.19,17447.0
2026-08-31,75.99,75.99,73.3,73.44,13208,EQ,340.0,38.85,8661.0
2026-09-01,78.94,78.94,71.5,73.69,12589,EQ,380.0,33.13,7595.0
2026-09-02,76.99,77.0,72.52,75.8,16532,EQ,271.0,61.0,9354.0
2026-09-03,73.56,76.9,73.56,74.06,12977,EQ,278.0,46.68,9385.0
2026-09-04,73.15,76.0,73.11,74.13,6162,EQ,205.0,30.06,4839.0
2026-09-07,74.25,74.42,70.0,71.37,29655,EQ,669.0,44.33,21290.0
2026-09-08,74.0,74.0,70.45,70.81,11471,EQ,432.0,26.55,9136.0
2026-09-09,73.0,73.0,70.3,71.38,7555,EQ,253.0,29.86,6059.0
2026-09-10,71.01,72.5,70.0,70.73,15668,EQ,484.0,32.37,10771.0
2026-09-11,70.11,71.9,68.13,69.28,14683,EQ,411.0,35.73,7689.0
2026-09-15,69.0,73.98,69.0,69.5,11049,EQ,422.0,26.18,7913.0
2026-09-16,69.0,71.0,67.0,67.57,23169,EQ,488,47.48,15417
2026-09-17,67.55,69.4,67.17,68.36,22081,EQ,379,58.26,16473
2026-09-18,67.51,69.89,67.5,68.34,6068,EQ,253,23.98,4339
