Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-05,37.15,37.15,36.8,37.04,3904391,EQ,187.0,20879.1,3901345.0
2026-08-06,38.15,38.67,36.88,36.91,48736,EQ,171.0,285.01,12648.0
2026-08-07,37.16,37.16,36.85,36.91,5215,EQ,34.0,153.38,3028.0
2026-08-10,37.32,37.45,36.91,36.92,15906,EQ,95.0,167.43,7006.0
2026-08-11,37.59,37.59,36.77,36.89,10373,EQ,61.0,170.05,4000.0
2026-08-12,37.63,37.63,36.13,36.75,6045,EQ,56.0,107.95,4669.0
2026-08-13,36.94,37.47,36.78,36.96,20248,EQ,50.0,404.96,12555.0
2026-08-14,36.99,37.35,36.75,36.87,2669,EQ,31.0,86.1,2002.0
2026-08-17,36.84,37.76,36.8,36.88,14261,EQ,34.0,419.44,5960.0
2026-08-18,36.88,36.9,36.6,36.72,2132,EQ,28.0,76.14,640.0
2026-08-19,36.7,37.17,36.45,36.49,2545,EQ,36.0,70.69,980.0
2026-08-20,36.85,37.53,36.75,36.78,1535,EQ,22.0,69.77,643.0
2026-08-21,36.95,36.95,36.77,36.78,786,EQ,14.0,56.14,393.0
2026-08-24,37.0,37.04,36.85,36.9,1128,EQ,10.0,112.8,642.0
2026-08-25,37.0,37.1,36.68,37.07,6448,EQ,36.0,179.11,1112.0
2026-08-26,36.99,37.1,36.89,37.1,1013,EQ,9.0,112.56,686.0
2026-08-27,37.03,37.03,36.76,36.95,369,EQ,8.0,46.12,233.0
2026-08-28,37.34,37.34,36.65,36.65,563,EQ,15.0,37.53,268.0
2026-08-31,36.71,36.75,36.45,36.75,11995,EQ,18.0,666.39,11150.0
2026-09-01,36.99,37.0,36.13,36.2,3015,EQ,31.0,97.26,1188.0
2026-09-02,37.35,37.35,35.83,36.08,2336,EQ,19.0,122.95,868.0
2026-09-03,36.44,36.53,36.3,36.38,1092,EQ,8.0,136.5,1086.0
2026-09-04,36.99,36.99,36.49,36.5,602,EQ,12.0,50.17,598.0
2026-09-07,36.68,36.68,36.16,36.26,1265,EQ,13.0,97.31,1020.0
2026-09-08,36.24,36.24,36.04,36.13,7,EQ,4.0,1.75,6.0
2026-09-09,36.49,36.49,35.43,35.6,2844,EQ,29.0,98.07,1691.0
2026-09-10,35.81,36.05,35.4,35.81,9467,EQ,29.0,326.45,8892.0
2026-09-11,36.14,36.45,35.6,36.26,1154,EQ,12.0,96.17,116.0
2026-09-15,36.0,36.5,35.21,36.4,1456,EQ,28.0,52.0,1456.0
2026-09-16,35.1,35.62,35.1,35.39,535,EQ,32,16.72,533
2026-09-17,35.51,35.63,35.1,35.22,1592,EQ,13,122.46,1557
2026-09-18,35.39,35.5,35.39,35.5,4,EQ,2,2.0,4
