Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-28,12.97,12.97,12.41,12.41,1225,EQ,22.0,55.68,1222.0
2026-07-29,12.9,12.9,12.51,12.74,1463,EQ,27.0,54.19,1198.0
2026-07-30,13.17,13.17,12.74,13.1,11657,EQ,47.0,248.02,5698.0
2026-07-31,13.1,15.21,12.63,12.87,115195,EQ,445.0,258.87,73630.0
2026-08-03,12.81,13.36,12.81,12.94,11246,EQ,47.0,239.28,9556.0
2026-08-04,13.0,13.47,12.96,13.06,35921,EQ,82.0,438.06,25745.0
2026-08-05,13.12,13.28,13.06,13.16,24279,EQ,39.0,622.54,21878.0
2026-08-06,13.27,13.28,13.17,13.17,15277,EQ,36.0,424.36,14752.0
2026-08-07,13.17,13.17,13.04,13.1,37766,EQ,52.0,726.27,9347.0
2026-08-10,13.18,13.29,13.15,13.18,11804,EQ,43.0,274.51,8637.0
2026-08-11,13.29,13.29,13.1,13.11,6419,EQ,33.0,194.52,5599.0
2026-08-12,13.17,13.27,13.14,13.21,4123,EQ,34.0,121.26,3101.0
2026-08-13,13.06,13.14,13.05,13.06,5090,EQ,47.0,108.3,4970.0
2026-08-14,13.19,13.28,12.85,12.96,8984,EQ,72.0,124.78,6227.0
2026-08-17,12.97,13.19,12.9,13.15,17157,EQ,43.0,399.0,14673.0
2026-08-18,13.14,13.14,13.05,13.06,6848,EQ,23.0,297.74,6823.0
2026-08-19,13.24,13.24,12.95,12.97,3783,EQ,33.0,114.64,3271.0
2026-08-20,13.0,13.15,12.96,12.97,23729,EQ,41.0,578.76,14080.0
2026-08-21,13.09,13.17,13.08,13.1,34255,EQ,27.0,1268.7,32395.0
2026-08-24,13.31,13.37,13.22,13.36,14578,EQ,53.0,275.06,14049.0
2026-08-25,13.36,13.36,13.21,13.34,12298,EQ,36.0,341.61,6996.0
2026-08-26,13.34,13.58,13.33,13.51,42312,EQ,34.0,1244.47,30872.0
2026-08-27,13.54,13.6,13.28,13.3,7029,EQ,51.0,137.82,3673.0
2026-08-28,13.63,13.63,13.42,13.53,15808,EQ,42.0,376.38,15519.0
2026-08-31,13.59,13.8,13.2,13.24,9937,EQ,64.0,155.27,9405.0
2026-09-01,13.2,13.69,13.08,13.28,4694,EQ,40.0,117.35,3517.0
2026-09-02,13.61,13.61,13.05,13.15,5814,EQ,38.0,153.0,5661.0
2026-09-03,13.15,13.37,13.07,13.19,19954,EQ,45.0,443.42,12060.0
2026-09-04,13.21,13.36,13.13,13.36,5051,EQ,14.0,360.79,4890.0
2026-09-07,13.38,13.38,13.12,13.17,7027,EQ,48.0,146.4,4155.0
2026-09-08,13.23,13.29,13.13,13.2,6040,EQ,21.0,287.62,5176.0
2026-09-09,13.49,13.49,13.15,13.4,8228,EQ,32.0,257.12,6405.0
2026-09-10,13.53,13.53,13.22,13.49,4489,EQ,40.0,112.22,3632.0
2026-09-11,13.49,13.49,12.87,13.06,66044,EQ,107.0,617.23,19055.0
2026-09-15,13.35,13.35,12.7,12.74,14974,EQ,89.0,168.25,13488.0
2026-09-16,12.86,13.2,12.6,12.99,5130,EQ,35,146.57,5076
2026-09-17,12.99,13.99,12.74,12.99,7553,EQ,41,184.22,7515
2026-09-18,12.99,13.1,12.87,13.05,6609,EQ,39,169.46,5957
