Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,1065.6,1103.5,1065.6,1102.5,226,EQ,15.0,15.07,186.0
2026-08-18,1107.0,1146.0,1107.0,1116.2,1035,EQ,140.0,7.39,915.0
2026-08-19,1137.0,1195.0,1133.0,1173.3,4106,EQ,389.0,10.56,3154.0
2026-08-20,1186.0,1234.0,1178.0,1182.9,3879,EQ,416.0,9.32,2741.0
2026-08-21,1206.6,1214.0,1176.0,1192.0,3435,EQ,305.0,11.26,1863.0
2026-08-24,1220.0,1224.0,1195.0,1204.7,5891,EQ,663.0,8.89,3913.0
2026-08-25,1218.9,1219.0,1193.0,1207.6,2664,EQ,298.0,8.94,1706.0
2026-08-26,1211.0,1227.8,1206.0,1221.8,4131,EQ,545.0,7.58,2714.0
2026-08-27,1229.0,1234.9,1205.0,1212.7,4582,EQ,420.0,10.91,3553.0
2026-08-28,1248.0,1248.0,1209.0,1214.2,3295,EQ,266.0,12.39,2534.0
2026-08-31,1225.0,1240.0,1212.0,1217.4,5938,EQ,541.0,10.98,4106.0
2026-09-01,1220.0,1225.9,1205.0,1209.2,3955,EQ,371.0,10.66,2826.0
2026-09-02,1219.0,1221.0,1190.0,1196.9,7580,EQ,412.0,18.4,6055.0
2026-09-03,1213.0,1213.0,1190.1,1195.9,4838,EQ,376.0,12.87,3606.0
2026-09-04,1202.0,1208.3,1192.0,1195.6,6883,EQ,500.0,13.77,5777.0
2026-09-07,1214.9,1220.0,1188.1,1192.1,17291,EQ,1931.0,8.95,12441.0
2026-09-08,1204.9,1204.9,1169.2,1176.8,17717,EQ,1344.0,13.18,14526.0
2026-09-09,1107.2,1120.0,1068.1,1076.6,13226,EQ,1224.0,10.81,5736.0
2026-09-10,1077.0,1077.5,1041.2,1062.5,7162,EQ,662.0,10.82,4843.0
2026-09-11,1052.3,1062.9,1050.1,1054.0,2614,EQ,235.0,11.12,1986.0
2026-09-15,1049.0,1056.0,1020.1,1038.3,3778,EQ,498.0,7.59,2177.0
2026-09-16,1025.0,1034.0,1002.1,1026.9,1254,EQ,202,6.21,942
2026-09-17,1020.0,1073.0,1020.0,1065.3,3890,EQ,372,10.46,2584
2026-09-18,1043.8,1064.8,1043.4,1057.1,968,EQ,104,9.31,743
