Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-09-02,19.15,19.27,18.81,19.01,20686,EQ,65.0,318.25,17494.0
2026-09-03,19.1,19.25,18.9,19.2,26272,EQ,82.0,320.39,14628.0
2026-09-04,19.0,19.17,19.0,19.15,7399,EQ,52.0,142.29,7292.0
2026-09-07,19.34,19.34,18.98,19.03,7646,EQ,86.0,88.91,6178.0
2026-09-08,19.03,19.8,19.03,19.18,20874,EQ,61.0,342.2,19860.0
2026-09-09,19.18,19.75,19.18,19.3,21312,EQ,74.0,288.0,15938.0
2026-09-10,19.4,19.7,19.1,19.18,9880,EQ,79.0,125.06,7325.0
2026-09-11,19.51,19.51,18.97,19.06,14940,EQ,73.0,204.66,10878.0
2026-09-15,19.25,19.99,18.63,19.78,24801,EQ,125.0,198.41,22147.0
2026-09-16,19.47,19.81,18.58,18.71,85128,EQ,238,357.68,45736
2026-09-17,19.08,19.08,18.69,18.76,22143,EQ,74,299.23,16042
2026-09-18,18.94,19.19,18.75,18.96,10923,EQ,46,237.46,4896
