Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,393.45,410.0,380.0,400.85,1268,EQ,44.0,28.82,1093.0
2026-08-18,410.0,410.0,400.0,408.9,2398,EQ,49.0,48.94,2360.0
2026-08-19,409.5,420.0,402.0,415.65,2690,EQ,77.0,34.94,2422.0
2026-08-20,409.95,416.9,402.0,402.85,2199,EQ,105.0,20.94,1952.0
2026-08-21,400.85,415.95,393.0,414.15,3933,EQ,51.0,77.12,3742.0
2026-08-24,385.0,425.0,385.0,403.65,1324,EQ,47.0,28.17,1065.0
2026-08-25,414.0,419.0,403.8,416.4,1752,EQ,35.0,50.06,1717.0
2026-08-26,415.0,415.8,403.05,404.8,337,EQ,18.0,18.72,286.0
2026-08-27,404.05,410.0,395.0,396.95,17585,EQ,123.0,142.97,16710.0
2026-08-28,396.0,400.0,385.0,400.0,8474,EQ,45.0,188.31,8368.0
2026-08-31,398.05,412.7,398.05,399.05,1579,EQ,36.0,43.86,1482.0
2026-09-01,400.0,405.0,391.0,400.0,8408,EQ,51.0,164.86,8374.0
2026-09-02,400.0,405.0,385.0,389.2,2735,EQ,57.0,47.98,2712.0
2026-09-03,390.0,400.1,378.5,380.8,3915,EQ,201.0,19.48,3562.0
2026-09-04,396.0,400.0,384.0,389.8,776,EQ,73.0,10.63,744.0
2026-09-07,399.0,410.9,395.0,395.15,1719,EQ,129.0,13.33,1561.0
2026-09-08,395.0,410.0,390.0,396.6,4351,EQ,136.0,31.99,3723.0
2026-09-09,410.0,410.0,395.05,402.9,5075,EQ,111.0,45.72,4200.0
2026-09-10,403.0,408.5,388.0,392.2,4532,EQ,178.0,25.46,3996.0
2026-09-11,397.4,406.6,380.4,399.0,2634,EQ,79.0,33.34,2308.0
2026-09-15,412.95,413.0,394.6,398.55,2736,EQ,174.0,15.72,2047.0
2026-09-16,398.55,398.55,388.0,390.2,247,EQ,52,4.75,216
2026-09-17,399.9,401.8,384.9,392.6,1848,EQ,180,10.27,1633
2026-09-18,388.0,404.9,385.4,395.1,827,EQ,83,9.96,670
