Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-09-04,757.0,908.4,756.0,908.4,15790052,EQ,192111.0,82.19,10515154.0
2026-09-07,1090.05,1090.05,1090.05,1090.05,742653,EQ,11025.0,67.36,737573.0
2026-09-08,1189.0,1308.05,1140.6,1308.05,12761472,EQ,334076.0,38.2,3334175.0
2026-09-09,1438.85,1438.85,1438.85,1438.85,312887,EQ,4561.0,68.6,311082.0
2026-09-10,1520.0,1582.7,1330.0,1582.2,15676632,EQ,650971.0,24.08,2788363.0
2026-09-11,1600.0,1740.4,1582.7,1740.4,7498763,EQ,242181.0,30.96,1254473.0
2026-09-15,1800.0,1827.4,1681.0,1824.7,6742443,EQ,315746.0,21.35,1132421.0
2026-09-16,1820.0,1820.0,1733.5,1733.5,1728190,EQ,72214,23.93,620679
2026-09-17,1646.85,1646.85,1646.85,1646.85,59604,EQ,2358,25.28,59580
2026-09-18,1565.0,1594.0,1564.55,1564.55,582208,EQ,9293,62.65,365267
