Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,37.0,38.4,35.5,36.25,14094,EQ,241.0,58.48,12373.0
2026-04-21,33.05,37.45,33.05,36.35,15343,EQ,224.0,68.5,12485.0
2026-04-22,36.5,37.3,35.15,35.65,402006,EQ,526.0,764.27,394862.0
2026-04-23,35.6,35.8,34.6,35.1,498381,EQ,656.0,759.73,342720.0
2026-04-24,35.1,36.0,34.55,35.35,236687,EQ,598.0,395.8,208983.0
2026-04-27,36.25,36.25,35.0,35.95,479467,EQ,555.0,863.9,281407.0
2026-04-28,36.45,36.45,35.0,35.35,559117,EQ,803.0,696.29,359328.0
2026-04-29,35.95,38.3,33.0,34.8,617700,EQ,2740.0,225.44,407639.0
2026-04-30,35.0,35.75,33.55,34.0,203898,EQ,1432.0,142.39,50952.0
2026-05-04,35.85,35.85,32.65,33.55,368330,EQ,1281.0,287.53,149070.0
2026-05-05,33.79,34.38,33.56,34.05,169630,EQ,500.0,339.26,26795.0
2026-05-06,34.35,34.35,33.56,34.01,227304,EQ,1835.0,123.87,22788.0
2026-05-07,35.0,35.45,33.55,34.44,362717,EQ,1372.0,264.37,101593.0
2026-05-08,34.44,35.3,33.97,34.72,364928,EQ,986.0,370.11,223778.0
2026-05-11,34.75,37.8,33.37,36.07,892029,EQ,2281.0,391.07,554224.0
2026-05-12,36.43,36.44,33.5,34.07,549786,EQ,1510.0,364.1,289922.0
2026-05-13,33.16,34.75,33.16,33.95,193738,EQ,621.0,311.98,36682.0
2026-05-14,33.55,34.96,33.01,33.77,219651,EQ,688.0,319.26,67661.0
2026-05-15,34.02,34.95,33.51,33.9,242659,EQ,760.0,319.29,83765.0
2026-05-18,33.55,34.15,33.02,33.42,125512,EQ,796.0,157.68,13666.0
2026-05-19,33.05,34.29,32.5,32.98,167728,EQ,826.0,203.06,40302.0
2026-05-20,33.0,33.47,32.64,33.08,332531,EQ,1161.0,286.42,183817.0
2026-05-21,33.0,33.8,32.82,32.94,148209,EQ,351.0,422.25,25122.0
2026-05-22,33.18,33.88,32.55,32.66,731858,EQ,688.0,1063.75,513248.0
2026-05-25,33.15,33.74,32.6,32.8,620564,EQ,1183.0,524.57,438844.0
2026-05-26,32.79,33.0,32.22,32.4,707547,EQ,1459.0,484.95,481018.0
2026-05-27,32.3,33.0,32.06,32.33,663312,EQ,939.0,706.4,529745.0
2026-05-29,32.98,35.94,32.34,34.4,876623,EQ,1863.0,470.54,708754.0
2026-06-01,35.99,37.77,34.8,36.16,2876931,EQ,4082.0,704.78,2478696.0
2026-06-02,36.0,37.24,35.4,35.64,1593532,EQ,1921.0,829.53,1388059.0
2026-06-03,36.17,37.49,35.0,35.25,584252,EQ,2003.0,291.69,458178.0
2026-06-04,35.0,35.85,35.0,35.47,2833628,EQ,1093.0,2592.52,2768522.0
2026-06-05,35.47,36.64,35.0,35.08,822383,EQ,936.0,878.61,780062.0
2026-06-08,35.94,35.94,34.01,34.69,1529210,EQ,1190.0,1285.05,1393149.0
2026-06-09,35.21,35.43,34.3,34.75,625939,EQ,932.0,671.61,512172.0
2026-06-10,35.48,35.48,34.22,34.64,74150,EQ,321.0,231.0,7177.0
2026-06-11,34.72,35.0,33.52,34.08,162283,EQ,642.0,252.78,43464.0
2026-06-12,34.59,34.89,34.02,34.32,731538,EQ,601.0,1217.2,560918.0
2026-06-15,34.96,36.0,34.06,35.51,876330,EQ,1230.0,712.46,641593.0
2026-06-16,35.78,36.01,34.5,35.87,787986,EQ,943.0,835.62,687846.0
2026-06-17,35.87,36.46,35.01,35.74,404218,EQ,1624.0,248.9,183992.0
2026-06-18,36.0,41.0,36.0,38.06,6614654,EQ,21484.0,307.89,1532046.0
2026-06-19,37.6,39.2,37.5,39.03,426775,EQ,1437.0,296.99,231982.0
2026-06-22,39.42,40.8,39.0,39.87,684693,EQ,3325.0,205.92,391111.0
2026-06-23,39.7,40.0,39.27,39.77,229878,EQ,818.0,281.02,121157.0
2026-06-24,39.17,40.13,39.17,39.48,172234,EQ,547.0,314.87,40449.0
2026-06-25,39.48,45.1,39.48,41.74,10230661,EQ,35653.0,286.95,948764.0
2026-06-29,41.74,43.17,40.5,41.0,492247,EQ,3595.0,136.93,157467.0
2026-06-30,41.61,41.89,39.5,40.27,187499,EQ,1185.0,158.23,57013.0
2026-07-01,39.9,42.0,39.31,40.8,542106,EQ,2272.0,238.6,189061.0
2026-07-02,41.83,46.95,39.5,40.31,12817460,EQ,40421.0,317.1,1454381.0
2026-07-03,40.71,41.75,40.23,41.13,570249,EQ,3472.0,164.24,133621.0
2026-07-06,41.13,41.64,39.83,40.14,524637,EQ,2687.0,195.25,198548.0
2026-07-07,40.4,42.22,39.92,41.38,593061,EQ,3174.0,186.85,150686.0
2026-07-08,42.75,42.77,40.7,41.31,569369,EQ,3163.0,180.01,174670.0
2026-07-09,41.72,46.3,40.83,42.18,4090566,EQ,27925.0,146.48,366634.0
2026-07-10,42.29,44.5,42.0,44.15,296525,EQ,2069.0,143.32,105710.0
2026-07-13,44.48,45.3,43.55,44.21,266111,EQ,1892.0,140.65,122316.0
2026-07-14,44.8,45.0,43.95,44.69,379541,EQ,2137.0,177.6,178932.0
2026-07-15,45.0,52.4,43.59,44.77,14193883,EQ,56695.0,250.36,1840059.0
2026-07-16,46.25,47.0,44.1,44.61,1408051,EQ,5692.0,247.37,240859.0
